round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2159,0.2159,0.01,0.22621457489878544,0.08529048207663782,0.04338028169014085,0.03559870550161812,0.07191780821917808,0.03551401869158879,0.568698347107438,0.19786995515695066,0.26551373346897256,0.11570247933884298,0.2379979570990807,0.7409470752089137,0.3988035892323031,0.07608695652173914,0.0313648615535408,0.3933579335793358,0.05994611585092052,0.44709563856835516,0.1286549707602339,0.0572262118491921
1,0.2664,0.2664,0.00557008245959878,0.3256578947368421,0.11526576019777503,0.013521126760563381,0.03559870550161812,0.18835616438356165,0.04672897196261682,0.6663223140495868,0.29091928251121074,0.4865208545269583,0.12396694214876033,0.33605720122574056,0.8328690807799443,0.4002991026919242,0.16304347826086957,0.07302131830433717,0.36,0.022002694207453974,0.5951496186192059,0.10526315789473684,0.12028725314183124
2,0.3397,0.3397,0.004589501302689314,0.3575404858299595,0.15822002472187885,0.04507042253521127,0.05177993527508091,0.3287671232876712,0.07289719626168224,0.7577479338842975,0.32230941704035876,0.6861648016276704,0.2066115702479339,0.3258426966292135,0.7966573816155988,0.386839481555334,0.30978260869565216,0.12178387650085763,0.5040590405904058,0.042209250112258644,0.6391550948562488,0.15204678362573099,0.3052064631956912
3,0.3987,0.3987,0.0046256366185843945,0.3722165991902834,0.18541409147095178,0.20413145539906102,0.07119741100323625,0.339041095890411,0.10654205607476636,0.762396694214876,0.312219730941704,0.7006612410986776,0.2809917355371901,0.3105209397344229,0.7855153203342619,0.3938185443668993,0.29891304347826086,0.11541288899779466,0.5697416974169742,0.08778625954198473,0.6815959319381968,0.21637426900584794,0.5217684021543986
4,0.4209,0.4209,0.005393809638917446,0.3808198380566802,0.19592088998763907,0.27830985915492956,0.08090614886731391,0.3458904109589041,0.11775700934579439,0.7737603305785123,0.3239910313901345,0.694557477110885,0.3140495867768595,0.32482124616956076,0.8161559888579387,0.4147557328015952,0.31521739130434784,0.11933349669198726,0.6222878228782288,0.11989223170184105,0.7005671816937219,0.2631578947368421,0.5062836624775583
5,0.4502,0.4502,0.006687162909656763,0.4048582995951417,0.22620519159456118,0.3061032863849765,0.09061488673139159,0.3424657534246575,0.14766355140186915,0.768595041322314,0.32230941704035876,0.7133774160732451,0.371900826446281,0.36057201225740554,0.8189415041782729,0.44217347956131603,0.32608695652173914,0.11467777505513355,0.6017712177121771,0.15693758419398293,0.740074320359867,0.30409356725146197,0.6622531418312387
6,0.467,0.467,0.008214191533625126,0.4101720647773279,0.22589616810877627,0.3528638497652582,0.11003236245954692,0.386986301369863,0.14392523364485982,0.7840909090909091,0.3413677130044843,0.7367751780264497,0.3884297520661157,0.39325842696629215,0.8022284122562674,0.47706879361914256,0.358695652173913,0.13673119333496692,0.648560885608856,0.2195779074988774,0.7381185214159984,0.3567251461988304,0.6097396768402155
7,0.4869,0.4869,0.009542141109704971,0.42459514170040485,0.242274412855377,0.4208450704225352,0.1262135922330097,0.3904109589041096,0.17943925233644858,0.78099173553719,0.3536995515695067,0.7507629704984741,0.38016528925619836,0.42696629213483145,0.7910863509749304,0.4935194416749751,0.3641304347826087,0.1404067630482725,0.6144649446494465,0.2415806017063314,0.7506356346567573,0.36257309941520466,0.6943447037701975
8,0.5158,0.5158,0.01,0.42206477732793524,0.26081582200247216,0.49821596244131455,0.20711974110032363,0.410958904109589,0.20747663551401868,0.7964876033057852,0.40022421524663676,0.7639877924720244,0.4462809917355372,0.4044943820224719,0.7966573816155988,0.5054835493519442,0.40217391304347827,0.22690517030139673,0.641180811808118,0.2662775033677593,0.7512223743399179,0.36257309941520466,0.6900807899461401
9,0.5082,0.5082,0.01,0.4423076923076923,0.2673053152039555,0.41183098591549294,0.1941747572815534,0.410958904109589,0.22242990654205608,0.7980371900826446,0.38789237668161436,0.7492370295015259,0.4049586776859504,0.4187946884576098,0.8384401114206128,0.5139581256231306,0.3858695652173913,0.19701053663317813,0.6482656826568266,0.2512348450830714,0.7635439076862899,0.38011695906432746,0.7268850987432675
