round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
107,0.5955,0.5487,0.003377544008989021,0.008272035899809157,0.004058369478621319,0.01,0.663513167987727,0.7479173094723851,0.7213145539906103,0.3300970873786408,0.6238993710691824,0.32335329341317365,0.851063829787234,0.35101789019123997,0.6620656830080914,0.6205357142857143,0.5980096501809409,0.6536312849162011,0.4759005580923389,0.25196850393700787,0.30906058921623125,0.4423488236437877,0.592368125701459,0.7977703892039898,0.5966850828729282,0.6423754215061821
108,0.5874,0.54664,0.003343768568899131,0.008401702253145385,0.003146559671760977,0.01,0.6525185374584506,0.740203640851589,0.7029107981220657,0.3333333333333333,0.6679245283018868,0.3263473053892216,0.8446808510638298,0.39666872301048733,0.6872917658257972,0.6651785714285714,0.6239445114595898,0.6340782122905028,0.4687975646879756,0.2440944881889764,0.3179544191217343,0.4341823838226716,0.5510662177328844,0.8202620770584784,0.585635359116022,0.6715998501311352
109,0.5936,0.55165,0.00331033088321014,0.007739530390592738,0.003930037071505439,0.01,0.6497059575556123,0.7386609071274298,0.7184976525821596,0.2783171521035599,0.6490566037735849,0.3383233532934132,0.8595744680851064,0.3904996915484269,0.6906235126130414,0.65625,0.6043425814234017,0.6424581005586593,0.4728564180618975,0.25984251968503935,0.25430794886047803,0.44507097025082637,0.5818181818181818,0.8143946802268727,0.580110497237569,0.6770325964780817
110,0.5869,0.5469900000000001,0.0032772275743780384,0.0076258428617547586,0.0030881704336535778,0.01,0.6364101252876502,0.7281703178031472,0.6901408450704225,0.32038834951456313,0.6635220125786163,0.32335329341317365,0.8531914893617021,0.3929673041332511,0.7101380295097572,0.6383928571428571,0.614897466827503,0.6340782122905028,0.4794520547945205,0.2440944881889764,0.321011673151751,0.44254326268714755,0.5465768799102132,0.8306278114609819,0.5524861878453039,0.6998875983514425
111,0.5914,0.54908,0.0032444552986342578,0.007418904606801233,0.003400555572623338,0.01,0.6261825620046024,0.7275532243134835,0.6940845070422536,0.35275080906148865,0.6591194968553459,0.3263473053892216,0.8418439716312057,0.4151758173966687,0.7106139933365064,0.6517857142857143,0.6055488540410132,0.5977653631284916,0.45408422120750885,0.2677165354330709,0.3257365202890495,0.42426599261131637,0.6190796857463524,0.8519460199491492,0.6243093922651933,0.6820906706631698
112,0.5914,0.5471600000000001,0.0032120107456479153,0.007706007731050246,0.00279986313411235,0.01,0.6563538736895934,0.746066029003394,0.6950234741784037,0.2977346278317152,0.6622641509433962,0.33083832335329344,0.8382978723404255,0.38433066008636646,0.6720609233698239,0.6473214285714286,0.6094692400482509,0.6256983240223464,0.4764079147640791,0.25984251968503935,0.2782101167315175,0.4343768228660315,0.5928170594837262,0.8059847447682378,0.6243093922651933,0.6978269014612214
113,0.5888,0.54755,0.003179890638191436,0.007412269688336461,0.002932938825241898,0.01,0.6405011506008693,0.7503856834310398,0.6984037558685446,0.3592233009708738,0.6452830188679245,0.3218562874251497,0.8652482269503546,0.38988278840222085,0.7015706806282722,0.6339285714285714,0.5974065138721351,0.6256983240223464,0.4657534246575342,0.2440944881889764,0.3407448582545859,0.4610149718063387,0.5869809203142536,0.8388421670252298,0.5911602209944752,0.6678531285125515
114,0.5927,0.54923,0.003148091731809522,0.007158533014348735,0.004034379477696094,0.01,0.6612119662490412,0.7324899722307929,0.7113615023474178,0.3042071197411003,0.6635220125786163,0.3218562874251497,0.851063829787234,0.39913633559531153,0.6501665873393622,0.6696428571428571,0.6314837153196623,0.6508379888268156,0.4850329781836631,0.25984251968503935,0.29933296275708726,0.45090414155162356,0.580695847362514,0.7928808918443184,0.585635359116022,0.667291120269764
115,0.5825,0.5461400000000001,0.0031166108144914267,0.006961269820128647,0.0031087141267160533,0.01,0.6435694195857837,0.7528540573896946,0.7076056338028169,0.3106796116504854,0.6415094339622641,0.312874251497006,0.849645390070922,0.4120913016656385,0.7068062827225131,0.6339285714285714,0.6025331724969843,0.6005586592178771,0.4809741248097412,0.2440944881889764,0.2979433018343524,0.45070970250826364,0.5836139169472503,0.8449051437512224,0.5966850828729282,0.6884600974147621
116,0.5809,0.54737,0.0030854447063465122,0.006481285945833276,0.0035568188109855224,0.01,0.6266939401687548,0.7275532243134835,0.7115492957746479,0.3074433656957929,0.6547169811320754,0.33083832335329344,0.8617021276595744,0.43861813695249846,0.7196573060447407,0.6428571428571429,0.6070566948130277,0.6089385474860335,0.4733637747336377,0.28346456692913385,0.28071150639244025,0.43573789616955083,0.5854096520763188,0.8437316643849012,0.580110497237569,0.6747845635069314
117,0.596,0.54932,0.003054590259283047,0.007085315344571612,0.003679875085304744,0.01,0.6481718230631552,0.7352668929342795,0.7010328638497653,0.3592233009708738,0.6553459119496855,0.3158682634730539,0.8581560283687943,0.35225169648365207,0.6734888148500714,0.6428571428571429,0.6139927623642943,0.6340782122905028,0.47387113140537795,0.25196850393700787,0.34936075597554195,0.47112580206105387,0.5892255892255892,0.818110698220223,0.585635359116022,0.6895841139003372
118,0.592,0.54943,0.0030240443566902165,0.006735660556388595,0.003113715850670579,0.01,0.6443364868320123,0.7334156124652885,0.71981220657277,0.37216828478964403,0.6389937106918239,0.32934131736526945,0.8617021276595744,0.38186304750154226,0.6815801999048072,0.6428571428571429,0.5974065138721351,0.6340782122905028,0.46321664129883305,0.2677165354330709,0.35797665369649806,0.45848726424265995,0.6083052749719416,0.8237825151574418,0.6187845303867403,0.6702884975646309
119,0.588,0.5468,0.002993803913123314,0.006212556521993687,0.0031333273820162164,0.01,0.637432881615955,0.7337241592101204,0.7046009389671362,0.3300970873786408,0.6452830188679245,0.3278443113772455,0.8581560283687943,0.39111659469463295,0.6944312232270348,0.6294642857142857,0.5968033775633294,0.6284916201117319,0.4794520547945205,0.2677165354330709,0.33240689271817675,0.4579039471125802,0.591919191919192,0.8374731077645218,0.574585635359116,0.6734732109404271
