round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2277,0.01,0.4354385067757607,0.25516815797593334,0.054272300469483566,0.038834951456310676,0.011949685534591196,0.0374251497005988,0.29219858156028367,0.2590993214065392,0.3626844359828653,0.05357142857142857,0.09408926417370325,0.3407821229050279,0.0563165905631659,0.07874015748031496,0.028071150639244025,0.31888003111024693,0.07474747474747474,0.6878544885585762,0.15469613259668508,0.09666541775946047
1,0.2199,0.0027721261139959097,0.475070314497571,0.31440913298364703,0.036619718309859155,0.032362459546925564,0.015723270440251572,0.07035928143712575,0.23191489361702128,0.2418260333127699,0.35602094240837695,0.05357142857142857,0.08956574185765984,0.2541899441340782,0.016235413495687467,0.11811023622047244,0.02668148971650917,0.16488430876920085,0.04556677890011223,0.7124975552513202,0.09944751381215469,0.1622330460846759
2,0.2681,0.0014728008536621928,0.4244438762464843,0.22955877815489045,0.09201877934272301,0.05177993527508091,0.03333333333333333,0.06736526946107785,0.6659574468085107,0.2850092535471931,0.5602094240837696,0.07589285714285714,0.11248492159227985,0.6452513966480447,0.32623033992897005,0.11023622047244094,0.03529738743746526,0.3297686175384017,0.04062850729517396,0.7349892431058087,0.10497237569060773,0.1596103409516673
3,0.3022,0.0010188716696575284,0.44208642290974176,0.25732798518975625,0.2195305164319249,0.061488673139158574,0.07421383647798742,0.10778443113772455,0.6432624113475177,0.27884022208513265,0.561161351737268,0.12053571428571429,0.15078407720144751,0.6256983240223464,0.3257229832572298,0.14960629921259844,0.03474152306837132,0.358351156912308,0.08709315375982042,0.7392920007823196,0.16022099447513813,0.19614087673285874
4,0.3253,0.0008253678679466248,0.4392738430069036,0.25547670472076517,0.2647887323943662,0.06472491909385113,0.12641509433962264,0.1317365269461078,0.6893617021276596,0.28439235040098704,0.5830556877677296,0.16517857142857142,0.195416164053076,0.6536312849162011,0.3866057838660578,0.1732283464566929,0.03668704836020011,0.3879058915030138,0.1324354657687991,0.7300997457461373,0.19337016574585636,0.21206444361183965
5,0.3537,0.0007490129792131484,0.4663768857069803,0.30206726319037336,0.3288262910798122,0.07766990291262135,0.17358490566037735,0.1661676646706587,0.6638297872340425,0.28192473781616284,0.5711565920990005,0.1875,0.23039806996381182,0.6452513966480447,0.41755454084221205,0.1968503937007874,0.0358532518065592,0.43243243243243246,0.20942760942760943,0.7289262663798162,0.23756906077348067,0.2515923566878981
6,0.3672,0.0007299768039956689,0.4778828944004091,0.31656896019746994,0.3228169014084507,0.07766990291262135,0.20943396226415095,0.19610778443113772,0.6666666666666666,0.28932757557063543,0.5882912898619705,0.21875,0.2705066344993969,0.664804469273743,0.41907661085743275,0.2047244094488189,0.040022234574763754,0.4194050165273187,0.20291806958473624,0.7297085859573635,0.27071823204419887,0.2740726863994005
7,0.3775,0.0007314630202017725,0.48632063410892357,0.326133909287257,0.3455399061032864,0.08090614886731391,0.2408805031446541,0.20508982035928144,0.6624113475177305,0.2917951881554596,0.589719181342218,0.22767857142857142,0.29674306393244876,0.6675977653631285,0.4322678843226788,0.23622047244094488,0.04141189549749861,0.4355434571261909,0.24556677890011222,0.7238411891257579,0.292817679558011,0.2873735481453728
8,0.3926,0.0007341140299104154,0.49833802096650476,0.3449552607219994,0.3646948356807512,0.09385113268608414,0.25660377358490566,0.2275449101796407,0.6546099290780142,0.29426280074028377,0.5916230366492147,0.2544642857142857,0.3172496984318456,0.6620111731843575,0.4505327245053272,0.25196850393700787,0.04780433574207893,0.44798755590122497,0.28215488215488216,0.726383727752787,0.3370165745856354,0.29955039340576994
9,0.4074,0.0007294079405255616,0.5144464331373051,0.36840481332921937,0.39417840375586854,0.11650485436893204,0.29559748427672955,0.26646706586826346,0.6581560283687943,0.2961135101789019,0.589719181342218,0.2767857142857143,0.3483112183353438,0.664804469273743,0.46930492135971585,0.29133858267716534,0.057809894385769875,0.45634843476570097,0.3151515151515151,0.7244279288089185,0.3701657458563536,0.3102285500187336
