round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1581,0.1581,1.1287387609481812,0.11287388205528259,1.1287387609481812,0.0,0.0,1.1287387609481812,0.0,0.0,0.19457939145998465,0.002468373958654736,0.0020657276995305163,0.025889967637540454,0.005031446540880503,0.017964071856287425,0.6624113475177305,0.22208513263417642,0.4869109947643979,0.05357142857142857,0.08262967430639324,0.7011173184357542,0.3769660071029934,0.05511811023622047,0.0264035575319622,0.29010305269298076,0.008754208754208754,0.3450029336984158,0.049723756906077346,0.02716373173473211
1,0.1566,0.1566,1.1866275072097778,0.21505597233772278,1.129332423210144,0.008914630860090256,0.00788673374048026,1.1287981271743774,3703.14453125,0.018305350095033646,0.17744822296087956,0.0021598272138228943,0.0022535211267605635,0.025889967637540454,0.0037735849056603774,0.019461077844311378,0.6843971631205674,0.20851326341764342,0.47739171822941456,0.049107142857142856,0.07478890229191798,0.7039106145251397,0.3982749873160832,0.06299212598425197,0.02501389660922735,0.30138051720785536,0.019304152637485972,0.3221200860551535,0.049723756906077346,0.024166354439865118
2,0.1676,0.1676,1.194236159324646,0.30581533908843994,1.1299999952316284,0.012074635364115238,0.010676070216642537,1.1288655996322632,4117.68408203125,0.017920494079589844,0.20736384556379442,0.030854674483184203,0.002629107981220657,0.03559870550161812,0.013207547169811321,0.023952095808383235,0.6801418439716312,0.20974706971005552,0.4883388862446454,0.049107142857142856,0.08835946924004826,0.6983240223463687,0.3911719939117199,0.06299212598425197,0.02529182879377432,0.29379739451681897,0.023793490460157128,0.37160179933502835,0.06077348066298342,0.03147246159610341
3,0.1906,0.1906,1.2137222290039062,0.38599011301994324,1.1308679580688477,0.016644306480884552,0.014705166236247619,1.1289536952972412,4452.73681640625,0.025859182700514793,0.2717974942469957,0.09194692995988893,0.009765258215962441,0.03559870550161812,0.013836477987421384,0.0374251497005988,0.6680851063829787,0.23442319555829735,0.49452641599238456,0.05357142857142857,0.09800965018094089,0.664804469273743,0.37493658041603245,0.07086614173228346,0.028071150639244025,0.28426988139218357,0.03164983164983165,0.474672403676902,0.06629834254143646,0.05133008617459723
4,0.218,0.218,1.2075450420379639,0.45283031463623047,1.1316604614257812,0.02194603718817234,0.01937565398949911,1.1290349960327148,4345.63134765625,0.029379641637206078,0.34415750447455895,0.1511879049676026,0.07474178403755868,0.038834951456310676,0.015723270440251572,0.04341317365269461,0.6716312056737589,0.25046267735965455,0.49928605425987627,0.05803571428571429,0.10253317249698432,0.6452513966480447,0.3759512937595129,0.07086614173228346,0.03168426903835464,0.2702702702702703,0.05387205387205387,0.5820457656952865,0.08839779005524862,0.07418508804795804
5,0.262,0.262,1.131844162940979,0.5010323524475098,1.131662368774414,0.02579749934375286,0.02277598343067298,1.1290377378463745,3899.018798828125,0.031295280903577805,0.39324980823318845,0.201172477630361,0.1844131455399061,0.045307443365695796,0.03333333333333333,0.08083832335329341,0.6609929078014184,0.2652683528685996,0.5121370775821038,0.08035714285714286,0.1272617611580217,0.6340782122905028,0.3759512937595129,0.07874015748031496,0.033629794330183434,0.2710480264437099,0.10953984287317621,0.6708390377469197,0.13812154696132597,0.12083177219932559
6,0.3264,0.3264,1.1048296689987183,0.5381632447242737,1.1313971281051636,0.030127448961138725,0.02660502063578251,1.1290138959884644,3607.912109375,0.03403547406196594,0.42086422909741755,0.23233569885837704,0.30816901408450703,0.05825242718446602,0.15283018867924528,0.12724550898203593,0.6531914893617021,0.27267119062307216,0.5597334602570204,0.16517857142857142,0.23612786489746682,0.6229050279329609,0.4408929477422628,0.13385826771653545,0.045858810450250136,0.2856309546957029,0.22312008978675646,0.703109720320751,0.23756906077348067,0.23754215061820907
7,0.4013,0.4013,1.0351028442382812,0.5608652234077454,1.1304746866226196,0.03255762532353401,0.028774506145353075,1.1289238929748535,3238.7333984375,0.035420890897512436,0.4461774482229609,0.2989817957420549,0.4356807511737089,0.13268608414239483,0.25534591194968553,0.22305389221556887,0.6326241134751773,0.2924120913016656,0.5997144217039505,0.26339285714285715,0.33715319662243665,0.6256983240223464,0.5007610350076104,0.2047244094488189,0.09838799332962757,0.3099358351156912,0.3696969696969697,0.6765108546841385,0.39226519337016574,0.37411015361558636
8,0.4441,0.4441,0.8897977471351624,0.5645145773887634,1.1283223628997803,0.0321158692240715,0.028438176980403577,1.128710150718689,2706.757568359375,0.035831715911626816,0.45870621324469446,0.34557235421166305,0.5400938967136151,0.2815533980582524,0.33081761006289306,0.29790419161676646,0.5780141843971631,0.3479333744602097,0.5559257496430271,0.35714285714285715,0.3941495778045838,0.6061452513966481,0.5377980720446474,0.2992125984251969,0.20038910505836577,0.320824421543846,0.46038159371492704,0.6317230588695482,0.48066298342541436,0.4067066316972649
9,0.4662,0.4662,0.9204549193382263,0.5649116039276123,1.1264334917068481,0.03435865789651871,0.030475108420366624,1.1285209655761719,2909.561767578125,0.03859778866171837,0.4558936333418563,0.3582227707497686,0.5834741784037558,0.3365695792880259,0.3867924528301887,0.30538922155688625,0.5468085106382978,0.41147439851943246,0.5202284626368396,0.4375,0.44209891435464416,0.5558659217877095,0.5535261288685946,0.30708661417322836,0.3026681489716509,0.34357378961695506,0.5427609427609428,0.6145120281635048,0.5469613259668509,0.3683027351067816
