round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.5132,0.5132,0.008953382542587164,0.0081357408152002,0.004516980962531404,0.01,0.6024034773715162,0.48071582844800986,0.567699530516432,0.32038834951456313,0.41635220125786165,0.39820359281437123,0.6822695035460993,0.43491671807526217,0.5935268919562113,0.49107142857142855,0.47135102533172496,0.6899441340782123,0.5342465753424658,0.3464566929133858,0.25125069483046136,0.48006999805560957,0.45342312008978675,0.779777038920399,0.5082872928176796,0.38553765455226674
11,0.5202,0.5202,0.008863848717161293,0.008866237663147095,0.004544154456071395,0.01,0.6228586039376118,0.5038568343103981,0.5586854460093896,0.3786407766990291,0.44150943396226416,0.41317365269461076,0.6900709219858157,0.47995064774830354,0.6163731556401714,0.5223214285714286,0.4867310012062726,0.7122905027932961,0.5489599188229325,0.3937007874015748,0.3179544191217343,0.42640482208827535,0.448709315375982,0.7942499511050264,0.4972375690607735,0.39003372049456725
12,0.5356,0.5356,0.00877521022998968,0.008864207857998133,0.004394540280644768,0.01,0.5898747123497826,0.466831224930577,0.620093896713615,0.41423948220064727,0.46855345911949686,0.4026946107784431,0.7134751773049646,0.4959901295496607,0.6249405045216564,0.5223214285714286,0.5253317249698432,0.7346368715083799,0.5920852359208524,0.3543307086614173,0.3521400778210117,0.4899863892669648,0.5043771043771044,0.783884216702523,0.5414364640883977,0.4040839265642563
13,0.5452,0.5452,0.008687458127689783,0.008944959011166456,0.0055685807784317054,0.01,0.5931986704167732,0.46960814563406356,0.5815962441314554,0.4627831715210356,0.520125786163522,0.41317365269461076,0.7,0.5342381246144355,0.6358876725368872,0.5625,0.5768998793727382,0.729050279329609,0.5834601725012684,0.36220472440944884,0.3991106170094497,0.4549873614621816,0.5167227833894501,0.7926853119499315,0.585635359116022,0.44717122517796926
14,0.5533,0.5533,0.008600583546412886,0.0090835968193559,0.006509231555459776,0.01,0.6356430580414216,0.5186670780623265,0.6309859154929578,0.4077669902912621,0.5094339622641509,0.44461077844311375,0.7163120567375887,0.5144972239358421,0.6320799619228938,0.5625,0.5690591073582629,0.7346368715083799,0.6012176560121766,0.4015748031496063,0.3593663146192329,0.45070970250826364,0.5411896745230078,0.8100919225503618,0.56353591160221,0.4275009366804046
15,0.57,0.57,0.008514577710948757,0.009275539201418184,0.006870745751934621,0.01,0.5949884939913066,0.47670472076519593,0.6492018779342723,0.44983818770226536,0.549685534591195,0.43862275449101795,0.6907801418439716,0.540407156076496,0.6344597810566397,0.59375,0.6127864897466827,0.7122905027932961,0.6362252663622526,0.3937007874015748,0.4121734296831573,0.4794866809255299,0.6172839506172839,0.7744963817719538,0.6077348066298343,0.48220307231172727
16,0.5725,0.5725,0.00842943193383927,0.009444153461080752,0.006737212087016669,0.01,0.6236256711838405,0.5091021289725394,0.6831924882629108,0.40129449838187703,0.5383647798742138,0.4655688622754491,0.6985815602836879,0.5077112893275756,0.6554021894336031,0.5803571428571429,0.5971049457177322,0.729050279329609,0.6113647894469812,0.3937007874015748,0.3504724847137298,0.4652926307602567,0.5780022446689114,0.8040289458243692,0.585635359116022,0.5026227051330087
17,0.5852,0.5852,0.008345137614500876,0.009297668922921566,0.0057376985873937416,0.01,0.6351316798772693,0.5248380129589633,0.7094835680751174,0.37216828478964403,0.5962264150943396,0.4940119760479042,0.7276595744680852,0.499691548426897,0.6406473108043789,0.6205357142857143,0.6311821471652593,0.7458100558659218,0.6605783866057838,0.4330708661417323,0.3282379099499722,0.5382072720202217,0.6195286195286195,0.782515157441815,0.6243093922651933,0.4668415136755339
18,0.5875,0.5875,0.008261686238355867,0.009237352572917475,0.005410132180001845,0.01,0.6085400153413449,0.48195001542733723,0.6448826291079812,0.4886731391585761,0.6081761006289308,0.4595808383233533,0.7127659574468085,0.5724861196792104,0.6891956211327939,0.6339285714285714,0.6492762364294331,0.7458100558659218,0.632673769660071,0.4094488188976378,0.46470261256253476,0.4454598483375462,0.5766554433221099,0.8052024251906904,0.574585635359116,0.5608842263019858
19,0.6005,0.6005,0.008179069375972308,0.009398186498697024,0.005954705883509691,0.01,0.6729736640245462,0.5751311323665536,0.6591549295774648,0.459546925566343,0.630188679245283,0.5344311377245509,0.7276595744680852,0.5490438001233806,0.675392670157068,0.6160714285714286,0.6643546441495778,0.7374301675977654,0.671740233384069,0.4645669291338583,0.4196775986659255,0.48512541318296715,0.6231200897867565,0.805789164873851,0.6077348066298343,0.5153615586361934
20,0.6028,0.6028,0.008097278682212584,0.009138387401339099,0.006463805098130115,0.01,0.637432881615955,0.5310089478556002,0.6552112676056338,0.47572815533980584,0.6094339622641509,0.48952095808383234,0.7276595744680852,0.5607649599012955,0.6882436934792956,0.6116071428571429,0.6607358262967431,0.7262569832402235,0.6666666666666666,0.44881889763779526,0.4574763757643135,0.49620843865448183,0.6323232323232323,0.8157637394875806,0.6132596685082873,0.5472086923941551
21,0.6136,0.6136,0.00801630589539046,0.009341710435093126,0.005860786259146815,0.01,0.6760419330094605,0.5674174637457575,0.6811267605633803,0.540453074433657,0.6163522012578616,0.5284431137724551,0.7446808510638298,0.6088834053053671,0.681104236078058,0.6205357142857143,0.6676718938480096,0.7486033519553073,0.6894977168949772,0.5039370078740157,0.5025013896609227,0.454209605288742,0.6264870931537598,0.8143946802268727,0.6408839779005525,0.5222929936305732
22,0.6064,0.6064,0.007936142836436554,0.00969322794242666,0.006773457431286494,0.01,0.6601892099207364,0.5439679111385375,0.660281690140845,0.511326860841424,0.6295597484276729,0.5254491017964071,0.7212765957446808,0.5854410857495373,0.7015706806282722,0.65625,0.6845597104945718,0.7374301675977654,0.6681887366818874,0.48031496062992124,0.471372984991662,0.43962667703674896,0.6264870931537598,0.8265206336788579,0.5911602209944752,0.5700636942675159
23,0.6241,0.6241,0.007856781408072189,0.00953139146657907,0.005452126887642633,0.01,0.6903605216057275,0.5951866707806233,0.6632863849765258,0.5533980582524272,0.6383647798742138,0.5523952095808383,0.7382978723404255,0.6162862430598396,0.6839600190385531,0.6294642857142857,0.6905910735826297,0.7402234636871509,0.6945712836123795,0.5275590551181102,0.5216787103946637,0.4742368267548124,0.6590347923681257,0.8200664971640915,0.6629834254143646,0.5466466841513675
24,0.6231,0.6231,0.007778213593991467,0.009498558758326978,0.005534348465678027,0.01,0.6745077985170034,0.5655661832767664,0.6553990610328638,0.5533980582524272,0.6069182389937107,0.5269461077844312,0.7219858156028369,0.6236890808143122,0.7163255592574964,0.6428571428571429,0.6755126658624849,0.7262569832402235,0.6925418569254186,0.5118110236220472,0.5252918287937743,0.44779311685786505,0.6684624017957351,0.8357128887150401,0.6408839779005525,0.5947920569501686
25,0.6351,0.6351,0.007700431458051552,0.009090805386807684,0.004609319919383983,0.01,0.7051904883661467,0.6084541808083924,0.652018779342723,0.5663430420711975,0.6320754716981132,0.5643712574850299,0.75177304964539,0.6292412091301666,0.7044264635887673,0.6607142857142857,0.6920989143546441,0.7569832402234636,0.7214611872146118,0.5433070866141733,0.5369649805447471,0.46218160606649816,0.6675645342312009,0.8308233913553686,0.6519337016574586,0.5636942675159236
26,0.6325,0.6325,0.007623427143471037,0.009151440450494706,0.005848783486408538,0.01,0.7166964970595756,0.6235729713051528,0.6627230046948357,0.4886731391585761,0.6232704402515723,0.5523952095808383,0.7695035460992907,0.553979025293029,0.7158495954307472,0.6428571428571429,0.6869722557297949,0.770949720670391,0.6966007102993405,0.5590551181102362,0.4324624791550862,0.5314019055026249,0.652749719416386,0.8490123215333464,0.6077348066298343,0.590108654926939
