round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.5492,0.5492,0.01,0.6277166964970595,0.5199012650416538,0.6093896713615023,0.343042071197411,0.4962264150943396,0.4505988023952096,0.6978723404255319,0.4540407156076496,0.6377915278438838,0.5357142857142857,0.5651387213510254,0.7011173184357542,0.6098427194317605,0.41732283464566927,0.26931628682601444,0.4742368267548124,0.5488215488215489,0.7932720516330921,0.56353591160221,0.4580367178718621
11,0.5632,0.5632,0.01,0.639989772436717,0.527306386917618,0.612018779342723,0.37216828478964403,0.5088050314465409,0.47754491017964074,0.7425531914893617,0.47871684145589144,0.6634935744883389,0.5535714285714286,0.5672496984318456,0.7262569832402235,0.6270928462709284,0.4094488188976378,0.3023902167871039,0.4952362434376823,0.5349046015712683,0.8106786622335224,0.5248618784530387,0.4681528662420382
12,0.5794,0.5794,0.01,0.6537969828688315,0.5452020981178649,0.6332394366197183,0.459546925566343,0.5264150943396226,0.48353293413173654,0.7156028368794326,0.512646514497224,0.6506425511661114,0.5758928571428571,0.5925814234016887,0.7011173184357542,0.641298833079655,0.47244094488188976,0.36937187326292387,0.47676453431849114,0.5699214365881032,0.8024643066692744,0.574585635359116,0.4895091794679655
13,0.5732,0.5732,0.01,0.6479161339810791,0.5328602283245911,0.6131455399061033,0.4045307443365696,0.5647798742138365,0.49101796407185627,0.7163120567375887,0.48858729179518817,0.6815801999048072,0.5982142857142857,0.623642943305187,0.7178770949720671,0.6555048198883815,0.4330708661417323,0.3076709282934964,0.443709896947307,0.5984287317620651,0.8190885976921572,0.5469613259668509,0.5215436493068565
14,0.5911,0.5911,0.01,0.6745077985170034,0.572354211663067,0.6415023474178404,0.4563106796116505,0.5811320754716981,0.5239520958083832,0.7602836879432624,0.5089450956199877,0.6687291765825797,0.6026785714285714,0.6348009650180941,0.7374301675977654,0.6494165398274987,0.48031496062992124,0.3688160088938299,0.48434765700952753,0.5683501683501684,0.8175239585370624,0.5911602209944752,0.5127388535031847
15,0.5939,0.5939,0.01,0.6489388903093838,0.5328602283245911,0.6123943661971831,0.5016181229773463,0.5886792452830188,0.4940119760479042,0.7319148936170212,0.5391733497840839,0.7015706806282722,0.5982142857142857,0.6474668275030157,0.7150837988826816,0.6661593099949265,0.4409448818897638,0.4030016675931073,0.4398211160801089,0.611672278338945,0.8286720125171132,0.5911602209944752,0.5533907830648183
16,0.6106,0.6106,0.01,0.6655586806443365,0.5674174637457575,0.631924882629108,0.46601941747572817,0.6232704402515723,0.5209580838323353,0.7524822695035461,0.5256014805675508,0.7101380295097572,0.65625,0.6577201447527141,0.7486033519553073,0.6595636732623034,0.47244094488188976,0.3810450250138966,0.47773672953529067,0.5959595959595959,0.8286720125171132,0.6022099447513812,0.5859872611464968
17,0.6183,0.6183,0.01,0.6773203784198415,0.5813020672631903,0.6679812206572769,0.5016181229773463,0.6056603773584905,0.5299401197604791,0.7418439716312056,0.5601480567550895,0.6996668253212756,0.6428571428571429,0.6507840772014475,0.7513966480446927,0.6727549467275494,0.5039370078740157,0.42495831017231794,0.4927085358740035,0.6219977553310887,0.8196753373753178,0.6077348066298343,0.5796178343949044
18,0.6234,0.6234,0.01,0.6908718997698798,0.5995063252082691,0.6700469483568076,0.5242718446601942,0.6150943396226415,0.5688622754491018,0.75177304964539,0.5712523133867983,0.6944312232270348,0.6339285714285714,0.666767189384801,0.7569832402234636,0.6960933536276002,0.5590551181102362,0.45052807115063925,0.48143107135912894,0.6444444444444445,0.8224134558967339,0.6464088397790055,0.5612588984638441
19,0.6217,0.6217,0.01,0.6670928151367936,0.572354211663067,0.6587793427230046,0.5242718446601942,0.5937106918238994,0.5194610778443114,0.7709219858156028,0.5650832819247378,0.7125178486435031,0.6473214285714286,0.6589264173703256,0.7681564245810056,0.69558599695586,0.5039370078740157,0.45330739299610895,0.5043748784755979,0.644668911335578,0.834539409348719,0.6629834254143646,0.5953540651929562
20,0.6344,0.6344,0.01,0.7154180516491946,0.6254242517741437,0.6379342723004695,0.511326860841424,0.6540880503144654,0.5853293413173652,0.7567375886524823,0.5718692165330043,0.7110899571632556,0.6651785714285714,0.7026537997587454,0.7541899441340782,0.6981227803145611,0.5275590551181102,0.4474708171206226,0.48862531596344544,0.6626262626262627,0.8306278114609819,0.6519337016574586,0.5917946796553016
21,0.6397,0.6397,0.01,0.7100485809255945,0.6220302375809935,0.6854460093896714,0.5372168284789643,0.6176100628930817,0.5763473053892215,0.7652482269503547,0.5792720542874769,0.7034745359352689,0.6741071428571429,0.6764173703256936,0.7597765363128491,0.7011669203450025,0.5433070866141733,0.46470261256253476,0.5123468792533541,0.6664421997755331,0.8366907881869744,0.6850828729281768,0.5623829149494193
22,0.6399,0.6399,0.01,0.7010994630529276,0.6047516198704104,0.6490140845070422,0.5210355987055016,0.6232704402515723,0.5508982035928144,0.7865248226950354,0.5891425046267736,0.7339362208472157,0.6607142857142857,0.6818455971049457,0.7737430167597765,0.7234906139015728,0.5196850393700787,0.4594219010561423,0.5199300019443904,0.6722783389450057,0.8488167416389595,0.6629834254143646,0.6024728362682653
23,0.6453,0.6453,0.01,0.7136282280746612,0.6244986115396483,0.6743661971830985,0.540453074433657,0.630817610062893,0.5748502994011976,0.7390070921985815,0.595311536088834,0.7068062827225131,0.6830357142857143,0.6927020506634499,0.7458100558659218,0.7077625570776256,0.5748031496062992,0.481100611450806,0.5078747812560762,0.6978675645342312,0.8451007236456093,0.6906077348066298,0.5886099662795055
24,0.6513,0.6513,0.01,0.7307593965737663,0.6439370564640543,0.675680751173709,0.5436893203883495,0.6415094339622641,0.5883233532934131,0.7836879432624113,0.5879086983343615,0.7158495954307472,0.6785714285714286,0.6993365500603136,0.7569832402234636,0.7361745306950787,0.5748031496062992,0.44774874930516956,0.5477347851448571,0.6942760942760943,0.8445139839624487,0.712707182320442,0.5839265642562758
25,0.6521,0.6521,0.01,0.708003068268985,0.6127738352360382,0.6651643192488262,0.517799352750809,0.6685534591194968,0.5568862275449101,0.7865248226950354,0.5885256014805675,0.7482151356496907,0.6919642857142857,0.7171290711700844,0.7597765363128491,0.7316083206494165,0.5196850393700787,0.45330739299610895,0.5220688314213494,0.6805836139169472,0.8533150792098573,0.6906077348066298,0.6294492319220681
26,0.6597,0.6597,0.01,0.7443109179238047,0.6633755013884604,0.6995305164319249,0.5048543689320388,0.6654088050314465,0.6062874251497006,0.7921985815602837,0.5657001850709439,0.7125178486435031,0.6607142857142857,0.7101930036188179,0.7625698324022346,0.7351598173515982,0.5905511811023622,0.42023346303501946,0.5685397627843671,0.701010101010101,0.8407979659690984,0.6961325966850829,0.5801798426376921
27,0.6633,0.6633,0.01,0.7501917668115572,0.6507250848503549,0.6781220657276995,0.5663430420711975,0.6377358490566037,0.6002994011976048,0.8028368794326242,0.621838371375694,0.7334602570204665,0.6830357142857143,0.6984318455971049,0.7569832402234636,0.7544393708777271,0.5590551181102362,0.4980544747081712,0.5364573206299825,0.7019079685746352,0.8519460199491492,0.7182320441988951,0.6043461970775571
