round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.4693,0.4693,0.9012935757637024,0.5648965239524841,1.1235976219177246,0.0372813455760479,0.03315083088338186,0.4564050115060087,0.3474236346806541,0.6056338028169014,0.35275080906148865,0.40440251572327046,0.3143712574850299,0.575177304964539,0.44417026526835285,0.5245121370775822,0.44642857142857145,0.4644149577804584,0.6089385474860335,0.5794013191273465,0.3228346456692913,0.34102279043913286,0.38615594011277465,0.561391694725028,0.612751809114023,0.5911602209944752,0.3293368302735107
11,0.4806,0.4806,0.8581295609474182,0.5576407313346863,1.1212539672851562,0.03816554695367813,0.03400794122029649,0.4822296087957044,0.3656278926257328,0.607887323943662,0.343042071197411,0.4339622641509434,0.3278443113772455,0.6070921985815603,0.44417026526835285,0.5292717753450737,0.4732142857142857,0.4867310012062726,0.5949720670391061,0.5778792491121258,0.3228346456692913,0.32795997776542524,0.4258215049581956,0.5679012345679012,0.6540191668296499,0.5911602209944752,0.3461970775571375
12,0.4955,0.4955,0.794529378414154,0.5437489151954651,1.1184593439102173,0.038453731685876846,0.034350270865183746,0.5228841728458195,0.40265350200555383,0.5966197183098592,0.3074433656957929,0.47735849056603774,0.35778443113772457,0.6219858156028368,0.432449105490438,0.5521180390290338,0.5,0.5189987937273823,0.6145251396648045,0.5682394723490614,0.33858267716535434,0.2954419121734297,0.4526540929418627,0.5618406285072952,0.6946997848621161,0.580110497237569,0.37279880104908203
13,0.5032,0.5032,0.8019275069236755,0.5333205461502075,1.1157386302947998,0.0394098237156868,0.03529010517463991,0.5512656609562772,0.4396791113853749,0.5956807511737089,0.3074433656957929,0.5056603773584906,0.40119760479041916,0.6397163120567376,0.4213448488587292,0.561161351737268,0.48214285714285715,0.5485524728588661,0.6312849162011173,0.5657026889903602,0.33858267716535434,0.26820455808782656,0.47345907058137277,0.5519640852974186,0.7162135732446705,0.5580110497237569,0.3935931060322218
14,0.5144,0.5144,0.771170973777771,0.5203912258148193,1.1128212213516235,0.03987681120634079,0.035801805928917595,0.5620046024034774,0.4498611539648257,0.596056338028169,0.3268608414239482,0.5264150943396226,0.41317365269461076,0.6574468085106383,0.42504626773596543,0.5644930985245121,0.5223214285714286,0.5744873341375151,0.6424581005586593,0.5733130390664637,0.33070866141732286,0.2765425236242357,0.47909780283881004,0.5510662177328844,0.7344025034226481,0.5524861878453039,0.40539527913076057
15,0.5251,0.5251,0.7526934146881104,0.507645308971405,1.109798550605774,0.03977716341614723,0.03580952045216008,0.5594477115827154,0.4406047516198704,0.6052582159624413,0.33980582524271846,0.5553459119496855,0.4341317365269461,0.6631205673758865,0.44293645897594075,0.5859114707282247,0.5401785714285714,0.594692400482509,0.664804469273743,0.5859969558599696,0.3543307086614173,0.292384658143413,0.4921252187439238,0.5611672278338945,0.7324467044787796,0.5248618784530387,0.4153240914200075
16,0.5388,0.5388,0.7299603819847107,0.4936847984790802,1.1066458225250244,0.03948776796460152,0.03565017549976757,0.5566351316798772,0.4359765504473928,0.6073239436619718,0.3883495145631068,0.5786163522012578,0.43862275449101795,0.674468085106383,0.4768661320172733,0.6111375535459305,0.5580357142857143,0.6145958986731002,0.6899441340782123,0.6128868594622019,0.3858267716535433,0.3285158421345192,0.48745868170328605,0.5638608305274972,0.731859964795619,0.5414364640883977,0.42356687898089174
17,0.5455,0.5455,0.7083343863487244,0.4781970977783203,1.1033746004104614,0.03952000290155411,0.03578496181174917,0.5625159805676297,0.43227398950941065,0.5988732394366197,0.4045307443365696,0.580503144654088,0.4431137724550898,0.6858156028368795,0.5077112893275756,0.6306520704426464,0.5714285714285714,0.6221351025331725,0.723463687150838,0.6265854895991883,0.3937007874015748,0.36964980544747084,0.4773478514485709,0.5557800224466891,0.7396831605710933,0.5414364640883977,0.4400524541026602
18,0.5555,0.5555,0.6673175096511841,0.4599105417728424,1.0998700857162476,0.03912656754255295,0.03554149399662944,0.5727435438506776,0.45479790188213515,0.5932394366197183,0.43042071197411,0.5949685534591195,0.468562874251497,0.6829787234042554,0.526835286859963,0.638267491670633,0.5669642857142857,0.6296743063932448,0.7122905027932961,0.6265854895991883,0.41732283464566927,0.39382990550305724,0.4689869725840949,0.5530864197530864,0.742812438881283,0.5303867403314917,0.4666541775946047
19,0.5614,0.5614,0.7042326927185059,0.44578588008880615,1.0966205596923828,0.03890334442257881,0.03544334522440232,0.5965226284837637,0.48287565566183277,0.5855399061032864,0.4401294498381877,0.6,0.49550898203592814,0.6758865248226951,0.5305367057371992,0.6520704426463588,0.6160714285714286,0.6338962605548853,0.7094972067039106,0.6276002029426687,0.4330708661417323,0.39577543079488603,0.45304297102858254,0.5580246913580247,0.7480930960297282,0.5303867403314917,0.49812663919070815
20,0.5686,0.5686,0.6984052062034607,0.43160152435302734,1.0933564901351929,0.03860896825790405,0.035280065139591255,0.6226029148555356,0.5128046899105214,0.595868544600939,0.4401294498381877,0.6,0.5359281437125748,0.6645390070921986,0.5305367057371992,0.6630176106615897,0.6160714285714286,0.6444511459589868,0.6983240223463687,0.6377473363774734,0.4566929133858268,0.3916064480266815,0.43904335990666926,0.5780022446689114,0.7586544103266184,0.5524861878453039,0.5206069689022106
21,0.5745,0.5745,0.608618438243866,0.41254329681396484,1.0895771980285645,0.03825122490525246,0.035074293662474484,0.6167220659677832,0.5192841715519901,0.6219718309859155,0.43042071197411,0.6088050314465409,0.5359281437125748,0.6574468085106383,0.5256014805675508,0.658257972394098,0.6116071428571429,0.6616405307599518,0.6815642458100558,0.6443429731100964,0.4409448818897638,0.3849360755975542,0.44273770173050747,0.604040404040404,0.7625660082143556,0.5966850828729282,0.5344698388909704
22,0.5825,0.5825,0.6443603038787842,0.3987295925617218,1.0860289335250854,0.0379871241748333,0.03494582619033541,0.6082843262592688,0.5075593952483801,0.6486384976525822,0.42718446601941745,0.610062893081761,0.5239520958083832,0.6652482269503546,0.5256014805675508,0.6549262256068539,0.6116071428571429,0.6658624849215923,0.6759776536312849,0.6534753932014206,0.4566929133858268,0.38993885491939967,0.45090414155162356,0.6206509539842873,0.7668687658908664,0.6077348066298343,0.5335331584863244
23,0.5892,0.5892,0.6655847430229187,0.3875710368156433,1.0826328992843628,0.03772323951125145,0.03481182560640609,0.5988238302224494,0.5013884603517433,0.6653521126760563,0.4401294498381877,0.6182389937106918,0.5194610778443114,0.6801418439716312,0.5305367057371992,0.652546406473108,0.625,0.6697828709288299,0.6927374301675978,0.6570268899036023,0.4566929133858268,0.4085603112840467,0.4610149718063387,0.6316498316498317,0.7678466653628007,0.6132596685082873,0.5254777070063694
24,0.5928,0.5928,0.6494671106338501,0.37648501992225647,1.079162359237671,0.03727312386035919,0.034506964199960515,0.5914088468422398,0.48997223079296515,0.6773708920187793,0.44983818770226536,0.630188679245283,0.5029940119760479,0.6985815602836879,0.5447254780999383,0.6577820085673489,0.6473214285714286,0.6764173703256936,0.6955307262569832,0.6722475900558093,0.4409448818897638,0.42384658143413007,0.47112580206105387,0.6352413019079686,0.7654997066301584,0.6408839779005525,0.5219183214687149
25,0.5952,0.5952,0.6493573784828186,0.3658660352230072,1.0757145881652832,0.036779843270778656,0.03415932474124953,0.5891076451035541,0.4838012958963283,0.6736150234741785,0.47249190938511326,0.6352201257861635,0.4940119760479042,0.7113475177304964,0.554595928439235,0.6706330318895763,0.6696428571428571,0.6872738238841978,0.7094972067039106,0.6864535768645358,0.41732283464566927,0.43162868260144527,0.47773672953529067,0.6334455667789001,0.766086446313319,0.6574585635359116,0.5260397152491569
