round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.4598,0.0007019697222858667,0.3868927125506073,0.20333745364647712,0.40262910798122065,0.11003236245954692,0.3904109589041096,0.1588785046728972,0.7324380165289256,0.34697309417040356,0.7360122075279756,0.2809917355371901,0.3881511746680286,0.7270194986072424,0.45014955134596213,0.3804347826086957,0.1509433962264151,0.6113653136531365,0.2276605298607993,0.6986113827498533,0.36257309941520466,0.5796678635547576
11,0.4664,0.0006736491923220456,0.38866396761133604,0.20642768850432633,0.40131455399061033,0.11650485436893204,0.3801369863013699,0.16074766355140188,0.7339876033057852,0.3480941704035874,0.7309257375381485,0.2975206611570248,0.3922369765066394,0.7381615598885793,0.4531405782652044,0.3641304347826087,0.14873805439843177,0.6222878228782288,0.2402334979793444,0.7062389986309408,0.391812865497076,0.6225314183123878
12,0.4768,0.0006422945880331099,0.3909412955465587,0.21600741656365885,0.4388732394366197,0.11974110032362459,0.3835616438356164,0.17009345794392525,0.7350206611570248,0.3480941704035874,0.7347405900305188,0.2809917355371901,0.3953013278855976,0.7214484679665738,0.46809571286141577,0.3695652173913043,0.15510904190149474,0.6364575645756457,0.27458464301751234,0.7050655192646196,0.38596491228070173,0.6106373429084381
13,0.4794,0.0006093271658755839,0.395748987854251,0.2200247218788628,0.4324882629107981,0.12944983818770225,0.3938356164383562,0.16261682242990655,0.7288223140495868,0.3536995515695067,0.7410986775178027,0.3140495867768595,0.4024514811031665,0.7158774373259053,0.471086739780658,0.3641304347826087,0.16049987748100955,0.6323247232472324,0.2801975752132914,0.7130842949344808,0.391812865497076,0.6070466786355476
14,0.4844,0.0005762670771218836,0.396002024291498,0.21631644004944375,0.4261032863849765,0.1262135922330097,0.3904109589041096,0.17009345794392525,0.7272727272727273,0.3576233183856502,0.7428789420142421,0.32231404958677684,0.41470888661899896,0.724233983286908,0.48454636091724823,0.375,0.1587846116148003,0.622730627306273,0.2907498877413561,0.722276549970663,0.4093567251461988,0.6588868940754039
15,0.4883,0.0005441224202513695,0.3965080971659919,0.21662546353522869,0.4353051643192488,0.1262135922330097,0.3904109589041096,0.17757009345794392,0.7396694214876033,0.351457399103139,0.7423702950152594,0.3305785123966942,0.4177732379979571,0.7437325905292479,0.4885343968095713,0.375,0.15902964959568733,0.6343911439114391,0.2992815446789403,0.7214942303931156,0.4152046783625731,0.6732495511669659
16,0.4899,0.0005143623566254973,0.4008097165991903,0.21508034610630408,0.443943661971831,0.1262135922330097,0.3835616438356164,0.17757009345794392,0.71900826446281,0.35257847533632286,0.7405900305188199,0.36363636363636365,0.424923391215526,0.7325905292479109,0.48753738783649053,0.375,0.15976476353834845,0.6305535055350554,0.307139649753031,0.723645609231371,0.4269005847953216,0.6802064631956912
17,0.4929,0.00048660452011972666,0.402580971659919,0.22064276885043263,0.4428169014084507,0.12944983818770225,0.3801369863013699,0.17943925233644858,0.7319214876033058,0.3548206278026906,0.7444048830111902,0.34710743801652894,0.432073544433095,0.7381615598885793,0.5014955134596212,0.3858695652173913,0.16442048517520216,0.6369003690036901,0.3185900314324203,0.7283395266966556,0.43859649122807015,0.6750448833034112
18,0.498,0.00046193934394977987,0.4023279352226721,0.22836835599505562,0.4569014084507042,0.13592233009708737,0.3835616438356164,0.18504672897196262,0.7298553719008265,0.3508968609865471,0.7484740590030519,0.34710743801652894,0.42696629213483145,0.7381615598885793,0.5059820538384845,0.3695652173913043,0.1654006370987503,0.6402952029520296,0.3257745846430175,0.7320555446900059,0.4327485380116959,0.6988330341113106
19,0.4992,0.0004395959840621799,0.4063765182186235,0.22558714462299134,0.4747417840375587,0.1423948220064725,0.3938356164383562,0.18691588785046728,0.7277892561983471,0.35874439461883406,0.7525432349949135,0.36363636363636365,0.4341164453524004,0.7381615598885793,0.5074775672981057,0.375,0.17103651065915218,0.6386715867158672,0.3239784463403682,0.7291218462742031,0.4502923976608187,0.6941202872531418
