round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1,0.1,0.099,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
1,0.1,0.1,0.09801,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
2,0.1,0.1,0.0970299,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
3,0.1,0.1,0.096059601,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
4,0.1,0.1,0.09509900499,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
5,0.1,0.1,0.0941480149401,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
6,0.1,0.1,0.093206534790699,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
7,0.1,0.1,0.09227446944279201,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
8,0.1,0.1,0.09135172474836409,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
9,0.1,0.1,0.09043820750088044,0.10000000000000002,0.1,0.1,0.002045512656609563,0.004319654427645789,0.0009389671361502347,0.016181229773462782,0.8805031446540881,0.20658682634730538,0.0070921985815602835,0.0030845157310302285,0.002379819133745835,0.5223214285714286,0.7062726176115802,0.013966480446927373,0.0025367833587011668,0.03937007874015748,0.0019455252918287938,0.0009721952167995333,0.0013468013468013469,0.0009778994719342852,0.08287292817679558,0.1682278006744099
