round,global_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
48,0.5616,0.00019328307826071978,0.47444331983805665,0.39326536916898364,0.42377018400300415,0.2297734627831715,0.4478507164278574,0.35,0.6394862604540024,0.382847533632287,0.7468837445942508,0.4380165289256198,0.493491124260355,0.7437325905292479,0.7442326980942828,0.4666666666666667,0.2364616515559912,0.804456906729634,0.6156773211567732,0.7037184330880891,0.7349397590361446,0.631590756113978
49,0.5638,0.00018993507546838373,0.48203441295546556,0.3982082174853259,0.42339466766804357,0.23300970873786409,0.4558480506497834,0.3611111111111111,0.6412783751493429,0.38621076233183854,0.7486644619689646,0.4380165289256198,0.5088757396449705,0.7381615598885793,0.7261785356068204,0.4636363636363636,0.2371967654986523,0.8015053128689492,0.6202435312024354,0.7102803738317757,0.7349397590361446,0.6295714606237379
50,0.5616,0.00018660631030797958,0.4749493927125506,0.3870868087735558,0.42226811866316183,0.22006472491909385,0.45084971676107966,0.3527777777777778,0.6388888888888888,0.38228699551569506,0.7430679216484355,0.4297520661157025,0.493491124260355,0.7493036211699164,0.7442326980942828,0.45454545454545453,0.23009066405292822,0.8015053128689492,0.6232876712328768,0.7082919069397494,0.7349397590361446,0.6446039937177473
51,0.5652,0.00018302873650100082,0.4782388663967611,0.39264751312944085,0.42658655651520844,0.22653721682847897,0.4555148283905365,0.35833333333333334,0.6409796893667862,0.3850896860986547,0.7486644619689646,0.4380165289256198,0.5100591715976331,0.7437325905292479,0.7311935807422267,0.4636363636363636,0.2367066895368782,0.8025383707201889,0.6187214611872146,0.7078942135613442,0.7349397590361446,0.6412385012340139
52,0.562,0.00017961249977815896,0.47798582995951416,0.39357429718875503,0.4252722493428464,0.22330097087378642,0.4521826057980673,0.3597222222222222,0.6406810035842294,0.3834080717488789,0.7471381327906386,0.4297520661157025,0.49940828402366866,0.7493036211699164,0.7482447342026078,0.4636363636363636,0.23082577799558932,0.8028335301062574,0.619482496194825,0.70530920660171,0.7228915662650602,0.6407897689028494
53,0.5674,0.00017647883214522153,0.4883603238866397,0.40531356194006796,0.4371010138941044,0.23624595469255663,0.45884705098300566,0.3680555555555556,0.6415770609318996,0.3895739910313901,0.7522258967183922,0.4380165289256198,0.506508875739645,0.7465181058495822,0.7392176529588766,0.4696969696969697,0.2391570693457486,0.8029811097992916,0.6255707762557078,0.7059057466693179,0.7228915662650602,0.6378730087502804
54,0.5674,0.0001735000405460596,0.48279352226720645,0.40037071362372567,0.4337213668794593,0.22330097087378642,0.4608463845384872,0.36666666666666664,0.6445639187574671,0.3890134529147982,0.7476469091834139,0.4380165289256198,0.5041420118343195,0.7493036211699164,0.7382146439317954,0.4636363636363636,0.23621661357510415,0.8010625737898465,0.6263318112633182,0.715450387751044,0.7228915662650602,0.6470720215391519
55,0.5685,0.00017053981719072908,0.48709514170040485,0.40932962619709606,0.44048066090874954,0.22653721682847897,0.46017994001999335,0.37777777777777777,0.6460573476702509,0.38621076233183854,0.7435766980412108,0.4462809917355372,0.506508875739645,0.7493036211699164,0.7422266800401204,0.4636363636363636,0.23474638568978193,0.8047520661157025,0.6270928462709284,0.7118711473453967,0.7228915662650602,0.6475207538703164
56,0.5682,0.00016775763651821762,0.49063765182186236,0.40963855421686746,0.4371010138941044,0.23948220064724918,0.45451516161279576,0.3763888888888889,0.6424731182795699,0.3895739910313901,0.7504451793436785,0.4462809917355372,0.5053254437869823,0.7520891364902507,0.7492477432296891,0.4666666666666667,0.2386669933839745,0.8065230224321134,0.624048706240487,0.7033207397096838,0.7228915662650602,0.6477451200358986
57,0.572,0.0001651567581575364,0.4964574898785425,0.41396354649366696,0.4329703342095381,0.23948220064724918,0.457514161946018,0.3763888888888889,0.6427718040621266,0.3991031390134529,0.7532434495039431,0.4380165289256198,0.5159763313609468,0.7493036211699164,0.7311935807422267,0.4696969696969697,0.24552805684881157,0.8037190082644629,0.624048706240487,0.7102803738317757,0.7228915662650602,0.6459501907112407
