round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
185,0,0,0,,,,0.6122
186,0,0,0,,,,0.6025
187,0,0,0,,,,0.6074
188,0,0,0,,,,0.6042
189,0,0,0,,,,0.614
190,0,0,0,,,,0.5958
191,0,0,0,,,,0.6061
192,0,0,0,,,,0.6127
193,0,0,0,,,,0.6054
194,0,0,0,,,,0.6036
195,0,0,0,,,,0.6158
196,0,0,0,,,,0.5916
197,0,0,0,,,,0.6148
198,0,0,0,,,,0.5989
199,0,0,0,,,,0.6119
