round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1005,0.1005,0.0001,0.0025568908207619537,0.0018512804689910522,0.0009389671361502347,0.016181229773462782,0.0031446540880503146,0.0074850299401197605,0.7361702127659574,0.02961135101789019,0.22893860066634936,0.04017857142857143,0.0015078407720144752,0.5782122905027933,0.4322678843226788,0.05511811023622047,0.006948304613674263,0.3404627649231966,0.00202020202020202,0.1056131429689028,0.03314917127071823,0.002810041213937804
1,0.136,0.136,5.4777381592430174e-05,0.11301457427767835,0.038876889848812095,0.009389671361502348,0.032362459546925564,0.005031446540880503,0.016467065868263474,0.7056737588652482,0.09932140653917335,0.32793907663017613,0.049107142857142856,0.03528347406513872,0.5810055865921788,0.38711314053779805,0.05511811023622047,0.013896609227348526,0.3418238382267159,0.011672278338945005,0.24545276745550557,0.03867403314917127,0.023604346197077557
2,0.1487,0.1487,4.264586095814593e-05,0.2799795448734339,0.13761184819500155,0.006009389671361502,0.032362459546925564,0.005660377358490566,0.025449101796407185,0.4014184397163121,0.18568784700801974,0.3436458829128986,0.03571428571428571,0.06604342581423402,0.39664804469273746,0.1917808219178082,0.06299212598425197,0.02028904947192885,0.15302352712424655,0.008978675645342313,0.45765695286524544,0.04419889502762431,0.05732484076433121
3,0.1546,0.1546,3.760369509109296e-05,0.30989516747634877,0.13822894168466524,0.005446009389671361,0.032362459546925564,0.005660377358490566,0.025449101796407185,0.35106382978723405,0.2146822948797039,0.3717277486910995,0.04017857142857143,0.07720144752714113,0.40502793296089384,0.16489091831557584,0.05511811023622047,0.02529182879377432,0.12871864670425823,0.007407407407407408,0.4903187952278506,0.049723756906077346,0.05863619333083552
4,0.158,0.158,3.525620195432566e-05,0.31194068013295834,0.13514347423634682,0.006572769953051643,0.025889967637540454,0.006289308176100629,0.02245508982035928,0.3475177304964539,0.22208513263417642,0.38933841028081867,0.04017857142857143,0.08232810615199035,0.4134078212290503,0.16032470826991374,0.05511811023622047,0.02612562534741523,0.13046859809449737,0.007856341189674524,0.4948171327987483,0.055248618784530384,0.05863619333083552
5,0.16,0.16,3.462952736299485e-05,0.31577601636410124,0.1373033014501697,0.007136150234741784,0.02912621359223301,0.006918238993710692,0.023952095808383235,0.3588652482269504,0.22331893892658852,0.3945740123750595,0.04017857142857143,0.08443908323281062,0.4273743016759777,0.1598173515981735,0.05511811023622047,0.0264035575319622,0.137468403655454,0.00920314253647587,0.5036182280461569,0.055248618784530384,0.05938553765455227
6,0.1623,0.1623,3.600933632696979e-05,0.32677064689337765,0.14409132983647022,0.007511737089201878,0.03559870550161812,0.006918238993710692,0.025449101796407185,0.36028368794326243,0.2282541640962369,0.39171822941456447,0.044642857142857144,0.0853437876960193,0.42178770949720673,0.15220700152207,0.07086614173228346,0.02584769316286826,0.13474625704841534,0.010101010101010102,0.5186778799139449,0.06077348066298342,0.06219557886849007
7,0.1669,0.1669,4.035806705360301e-05,0.3306059831245206,0.148410984264116,0.007887323943661971,0.03559870550161812,0.006918238993710692,0.025449101796407185,0.3723404255319149,0.22887106724244294,0.39552594002855784,0.044642857142857144,0.0853437876960193,0.4329608938547486,0.15575849822425164,0.07086614173228346,0.027237354085603113,0.1370795255687342,0.010101010101010102,0.5243496968511637,0.06077348066298342,0.06331959535406519
8,0.1698,0.1698,4.7918427299009636e-05,0.3410892354896446,0.16044430731255785,0.006384976525821596,0.03559870550161812,0.006918238993710692,0.02844311377245509,0.37446808510638296,0.2325724861196792,0.3940980485483103,0.04017857142857143,0.0856453558504222,0.4329608938547486,0.15626585489599187,0.07874015748031496,0.02612562534741523,0.13221854948473655,0.00920314253647587,0.5390181889301779,0.06077348066298342,0.06725365305357812
9,0.173,0.173,5.7109773479169235e-05,0.3400664791613398,0.15396482567108918,0.0067605633802816905,0.03559870550161812,0.006918238993710692,0.029940119760479042,0.4,0.23750771128932757,0.407425035697287,0.04017857142857143,0.08685162846803378,0.4581005586592179,0.16793505834601724,0.07874015748031496,0.027237354085603113,0.14991250243048804,0.010101010101010102,0.5413651476628203,0.06629834254143646,0.06875234170101162
