round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_layer_norm,ratio_norm,scaled_delta_norm,warmup,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.4999,0.4999,0.8393402695655823,0.4299403429031372,0.44889798760414124,0.0,0.0,0.0,0.0,0.0,1,0.5466632574789057,0.44153039185436593,0.5342723004694836,0.35275080906148865,0.44716981132075473,0.39820359281437123,0.6574468085106383,0.4540407156076496,0.5702046644455021,0.4375,0.48431845597104944,0.7011173184357542,0.5337392186707255,0.3464566929133858,0.311561978877154,0.46782033832393544,0.47003367003367,0.727752787013495,0.46408839779005523,0.3551892094417385
11,0.5108,0.5108,0.7771256566047668,0.42119869589805603,0.45335808396339417,0.0,0.0,0.0,0.0,0.0,1,0.5453848120685246,0.4282628818265967,0.5506103286384977,0.37216828478964403,0.4880503144654088,0.4116766467065868,0.6929078014184397,0.46946329426280076,0.5892432175154688,0.49107142857142855,0.5274427020506635,0.723463687150838,0.5388127853881278,0.3228346456692913,0.32962757087270705,0.45926502041609957,0.45364758698092034,0.723645609231371,0.46408839779005523,0.38010490820532034
12,0.5182,0.5182,0.7857783436775208,0.4141788184642792,0.4578784704208374,0.0,0.0,0.0,0.0,0.0,1,0.5397596522628484,0.4149953717988275,0.5804694835680752,0.3592233009708738,0.5182389937106918,0.3967065868263473,0.7099290780141844,0.4719309068476249,0.609709662065683,0.5089285714285714,0.5521712907117008,0.7318435754189944,0.5743277524099442,0.31496062992125984,0.33157309616453584,0.47015360684425433,0.4711560044893378,0.7252102483864659,0.47513812154696133,0.39490445859872614
13,0.5291,0.5291,0.7630825042724609,0.40646862983703613,0.4619298279285431,0.0,0.0,0.0,0.0,0.0,1,0.5279979544873434,0.39185436593643935,0.6101408450704225,0.3656957928802589,0.5522012578616352,0.39221556886227543,0.7063829787234043,0.4713140037014189,0.6201808662541647,0.53125,0.5883594692400482,0.7178770949720671,0.6118721461187214,0.2755905511811024,0.3265703168426904,0.477153412405211,0.5317620650953985,0.7279483669078819,0.5193370165745856,0.4256275758711128
14,0.5409,0.5409,0.7132418155670166,0.39579102396965027,0.46511557698249817,0.0,0.0,0.0,0.0,0.0,1,0.5210943492712861,0.3869176180191299,0.6287323943661972,0.3883495145631068,0.5773584905660377,0.4116766467065868,0.6723404255319149,0.473164713140037,0.6144693003331747,0.5714285714285714,0.6302774427020507,0.7011173184357542,0.6372399797057331,0.29133858267716534,0.3290717065036131,0.4755979000583317,0.6080808080808081,0.7201251711324076,0.574585635359116,0.4524166354439865
15,0.55,0.55,0.7168424129486084,0.38568115234375,0.4683031141757965,0.0,0.0,0.0,0.0,0.0,1,0.519560214778829,0.3983338475779081,0.6315492957746479,0.4045307443365696,0.5911949685534591,0.4296407185628742,0.6361702127659574,0.48673658235657,0.606853879105188,0.5669642857142857,0.6547044632086851,0.6508379888268156,0.6585489599188229,0.3464566929133858,0.34852695942190104,0.4736535096247326,0.6729517396184063,0.7050655192646196,0.6574585635359116,0.47283626826526787
16,0.5604,0.5604,0.6882670521736145,0.37463393807411194,0.47101154923439026,0.0,0.0,0.0,0.0,0.0,1,0.5492201482996676,0.4390620178957112,0.6155868544600939,0.43042071197411,0.5918238993710692,0.46407185628742514,0.597872340425532,0.5188155459592844,0.6073298429319371,0.5892857142857143,0.6604342581423401,0.6452513966480447,0.6681887366818874,0.3700787401574803,0.377153974430239,0.4635426793700175,0.705050505050505,0.7115196557793859,0.6906077348066298,0.48838516298239043
17,0.5676,0.5676,0.6994252800941467,0.3628256916999817,0.47384098172187805,0.0,0.0,0.0,0.0,0.0,1,0.583738174379954,0.490280777537797,0.5915492957746479,0.47896440129449835,0.5918238993710692,0.4880239520958084,0.6063829787234043,0.5354719309068476,0.6111375535459305,0.5803571428571429,0.6568154402895054,0.6340782122905028,0.6773211567732116,0.41732283464566927,0.41495275152862704,0.4549873614621816,0.7151515151515152,0.7283395266966556,0.7071823204419889,0.49868864743349567
18,0.574,0.574,0.6906071901321411,0.3528073728084564,0.4764970541000366,0.0,0.0,0.0,0.0,0.0,1,0.6182562004602403,0.5220610922554767,0.563943661971831,0.5080906148867314,0.5811320754716981,0.5134730538922155,0.6368794326241135,0.5761875385564467,0.6330318895763922,0.59375,0.6571170084439083,0.6759776536312849,0.6925418569254186,0.41732283464566927,0.44969427459699834,0.43904335990666926,0.6915824915824916,0.7566986113827499,0.6961325966850829,0.5016860247283627
19,0.583,0.583,0.693208634853363,0.34415629506111145,0.4791495203971863,0.0,0.0,0.0,0.0,0.0,1,0.6443364868320123,0.5405738969453873,0.5688262910798122,0.5242718446601942,0.5748427672955975,0.5209580838323353,0.7056737588652482,0.5983960518198643,0.6501665873393622,0.5803571428571429,0.6360072376357057,0.7067039106145251,0.6950786402841197,0.4566929133858268,0.4677598665925514,0.44273770173050747,0.6464646464646465,0.7922941521611578,0.6464088397790055,0.49906331959535405
20,0.5841,0.5841,0.6933215260505676,0.3364954888820648,0.4817627966403961,0.0,0.0,0.0,0.0,0.0,1,0.6566095627716696,0.5476704720765196,0.592112676056338,0.5048543689320388,0.5584905660377358,0.5149700598802395,0.7432624113475177,0.5983960518198643,0.6792003807710614,0.5669642857142857,0.6182147165259348,0.7430167597765364,0.6681887366818874,0.4645669291338583,0.45497498610339077,0.46120941084969863,0.6011223344556678,0.8128300410717778,0.585635359116022,0.5108654926938928
21,0.5847,0.5847,0.664715051651001,0.32788124680519104,0.48393484950065613,0.0,0.0,0.0,0.0,0.0,1,0.6517514702122219,0.5442764578833693,0.6343661971830986,0.4854368932038835,0.5415094339622641,0.5179640718562875,0.7574468085106383,0.5718692165330043,0.6920514040932889,0.5401785714285714,0.6055488540410132,0.7625698324022346,0.6575342465753424,0.4566929133858268,0.4260700389105058,0.4991250243048804,0.5802469135802469,0.8186974379033836,0.574585635359116,0.520044960659423
22,0.5942,0.5942,0.6280021071434021,0.3167770504951477,0.48558709025382996,0.0,0.0,0.0,0.0,0.0,1,0.6476604448990028,0.5356371490280778,0.6704225352112676,0.47572815533980584,0.5320754716981132,0.5044910179640718,0.7567375886524823,0.5416409623689081,0.6877677296525464,0.5401785714285714,0.5958986731001207,0.7569832402234636,0.6732623033992897,0.47244094488188976,0.39466370205669815,0.5364573206299825,0.5964085297418631,0.8151769998044202,0.580110497237569,0.5385912326714125
23,0.5964,0.5964,0.63768070936203,0.30702701210975647,0.48734304308891296,0.0,0.0,0.0,0.0,0.0,1,0.6215801585272309,0.5183585313174947,0.7010328638497653,0.4368932038834951,0.5238993710691824,0.49101796407185627,0.7460992907801418,0.5064774830351635,0.6715849595430747,0.5178571428571429,0.5958986731001207,0.7094972067039106,0.6798579401319127,0.4409448818897638,0.3593663146192329,0.5724285436515653,0.6363636363636364,0.8028554664580481,0.6022099447513812,0.5586361933308355
