round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
13,0.5343,0.5343,0.7580789923667908,0.41442158818244934,0.4629615545272827,0.5223727946816671,0.39463128663992597,0.6148356807511737,0.3656957928802589,0.5779874213836478,0.4041916167664671,0.6595744680851063,0.473164713140037,0.6120894811994289,0.5758928571428571,0.6142943305186972,0.6564245810055865,0.5596144089294774,0.33070866141732286,0.3379655364091162,0.4633482403266576,0.5063973063973064,0.7109329160962253,0.5138121546961326,0.45728737354814536
14,0.5421,0.5421,0.7311360239982605,0.4035801291465759,0.4664071798324585,0.5333674252109435,0.4097500771366862,0.6407511737089202,0.3592233009708738,0.5779874213836478,0.41467065868263475,0.6673758865248227,0.47254780999383095,0.6220847215611613,0.5625,0.6203256936067552,0.6675977653631285,0.5773718924403856,0.33070866141732286,0.33240689271817675,0.4752090219716119,0.5375982042648709,0.7099550166242911,0.5524861878453039,0.4765829898838516
15,0.5532,0.5532,0.7344313263893127,0.3936203122138977,0.46984487771987915,0.5643058041421631,0.44369021906818884,0.6484507042253521,0.39805825242718446,0.5716981132075472,0.4416167664670659,0.6652482269503546,0.4805675508945096,0.6277962874821513,0.5758928571428571,0.6254523522316043,0.6815642458100558,0.602232369355657,0.3779527559055118,0.35186214563646473,0.4654870698036166,0.5611672278338945,0.7267748875415607,0.5966850828729282,0.49063319595354066
16,0.5638,0.5638,0.7362903952598572,0.3831554055213928,0.47325247526168823,0.6113525952441831,0.5050910212897254,0.6287323943661972,0.4336569579288026,0.559748427672956,0.48353293413173654,0.6602836879432624,0.5157310302282542,0.6563541170871013,0.5669642857142857,0.6314837153196623,0.6899441340782123,0.6235413495687468,0.4645669291338583,0.3746525847693163,0.4386544818199494,0.5836139169472503,0.7478975161353413,0.5911602209944752,0.5052454102660172
17,0.5713,0.5713,0.7194427251815796,0.3734623193740845,0.47634461522102356,0.6448478649961646,0.5513730330145017,0.6107042253521127,0.49838187702265374,0.5610062893081761,0.5119760479041916,0.674468085106383,0.5459592843923504,0.6653974297953356,0.6116071428571429,0.6366103739445115,0.6871508379888268,0.6331811263318112,0.48031496062992124,0.4038354641467482,0.4223216021777173,0.5858585858585859,0.7664776061020927,0.5911602209944752,0.511052828774822
18,0.576,0.576,0.71701580286026,0.363935649394989,0.479349821805954,0.6576323190999744,0.5664918235112619,0.5979342723004695,0.5275080906148867,0.5566037735849056,0.5269461077844312,0.6900709219858157,0.566933991363356,0.6801523084245598,0.6116071428571429,0.6420386007237636,0.6759776536312849,0.656519533231862,0.4566929133858268,0.44274596998332405,0.41240521096636207,0.5950617283950618,0.7823195775474281,0.580110497237569,0.5243536905207943
19,0.588,0.588,0.7061141729354858,0.3556530177593231,0.48214566707611084,0.6520071592942981,0.5600123418697933,0.6015023474178404,0.5760517799352751,0.5723270440251572,0.5149700598802395,0.6943262411347517,0.5860579888957433,0.6844359828653023,0.6428571428571429,0.6516887816646562,0.6787709497206704,0.6742770167427702,0.4881889763779528,0.4874930516953863,0.40618316157884504,0.6215488215488215,0.7913162526892236,0.6077348066298343,0.5496440614462346
20,0.5948,0.5948,0.6962515711784363,0.3468473255634308,0.48475512862205505,0.6407568396829455,0.5414995371798828,0.611830985915493,0.5922330097087378,0.5955974842767295,0.5,0.6978723404255319,0.5940777297964219,0.6991908614945264,0.65625,0.6537997587454765,0.6843575418994413,0.6829020801623541,0.48031496062992124,0.5033351862145636,0.41532179661676066,0.641077441077441,0.7917074124779973,0.6132596685082873,0.5668789808917197
21,0.5993,0.5993,0.6957838535308838,0.3385566771030426,0.48731791973114014,0.628228074661212,0.5269978401727862,0.6323004694835681,0.5825242718446602,0.5943396226415094,0.49850299401197606,0.7120567375886525,0.5885256014805675,0.7049024274155165,0.6339285714285714,0.6559107358262968,0.6843575418994413,0.6930492135971588,0.48031496062992124,0.48332406892718177,0.44565428738090607,0.6601571268237935,0.7877958145902602,0.6243093922651933,0.5786811539902585
22,0.606,0.606,0.7006741166114807,0.33069339394569397,0.48991164565086365,0.6274610074149833,0.5232952792348041,0.6480751173708921,0.540453074433657,0.5949685534591195,0.49850299401197606,0.7156028368794326,0.5780382479950648,0.709662065683008,0.6339285714285714,0.6607358262967431,0.6731843575418994,0.7016742770167428,0.48031496062992124,0.44469149527515284,0.4736535096247326,0.6801346801346801,0.7911206727948367,0.6132596685082873,0.583177219932559
