round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.4841,0.4841,0.7988865971565247,0.41814985871315,0.44774770736694336,0.01063254094325069,0.02369380560323711,0.5576578880081821,0.43782783091638383,0.46816901408450706,0.42394822006472493,0.3805031446540881,0.36377245508982037,0.6687943262411348,0.5138803207896361,0.5835316515944788,0.40625,0.43486127864897467,0.7011173184357542,0.526128868594622,0.33070866141732286,0.40605892162312396,0.3947112580206105,0.42581369248035916,0.7549383923332681,0.43646408839779005,0.3673660547021356
11,0.5008,0.5008,0.7722967863082886,0.4076797664165497,0.45214784145355225,0.009044649402859276,0.019959599440762987,0.5551009971874201,0.4412218451095341,0.511924882629108,0.4336569579288026,0.45157232704402517,0.39820359281437123,0.6836879432624113,0.5175817396668723,0.5949547834364588,0.45982142857142855,0.48914354644149577,0.723463687150838,0.5154743784880771,0.3700787401574803,0.42134519177320734,0.414544040443321,0.4062850729517396,0.7498533150792098,0.4585635359116022,0.3836642937429749
12,0.5174,0.5174,0.7869412899017334,0.4010319411754608,0.4567122161388397,0.008539090023086969,0.018656023855165734,0.5553566862694963,0.43875347115087937,0.5539906103286385,0.42394822006472493,0.5157232704402516,0.41916167664670656,0.6943262411347517,0.5212831585441086,0.5949547834364588,0.4955357142857143,0.5407117008443908,0.7178770949720671,0.5418569254185692,0.33070866141732286,0.41467481934408007,0.4297102858253937,0.4303030303030303,0.7308820653236847,0.46408839779005523,0.39452978643686776
13,0.5322,0.5322,0.7567942142486572,0.3938300311565399,0.46068164706230164,0.0076571161952133,0.01658527308576338,0.5597034006647916,0.4353594569577291,0.596056338028169,0.3851132686084142,0.579874213836478,0.4491017964071856,0.6673758865248227,0.4984577421344849,0.5992384578772013,0.5267857142857143,0.5955971049457177,0.7178770949720671,0.5788939624556063,0.3700787401574803,0.3799332962757087,0.4557651176356212,0.4947250280583614,0.7070213182084881,0.5580110497237569,0.4023979018358936
14,0.5386,0.5386,0.7319075465202332,0.38548585772514343,0.46417900919914246,0.007144991443791932,0.015359660050209126,0.5712094093582204,0.4483184202406665,0.6208450704225352,0.3365695792880259,0.6270440251572327,0.47005988023952094,0.6113475177304964,0.4639111659469463,0.589719181342218,0.5580357142857143,0.640832328106152,0.6815642458100558,0.6179604261796042,0.4015748031496063,0.32768204558087827,0.4689869725840949,0.5773288439955107,0.6825738314101311,0.569060773480663,0.4042712626451855
15,0.5468,0.5468,0.7299864292144775,0.3771946132183075,0.4675857126712799,0.006897709804605722,0.014720273405870083,0.5914088468422398,0.4875038568343104,0.6095774647887324,0.30097087378640774,0.6515723270440251,0.5014970059880239,0.5829787234042553,0.45033929673041334,0.5801999048072346,0.5491071428571429,0.6628468033775633,0.6675977653631285,0.6301369863013698,0.4409448818897638,0.30711506392440246,0.4660703869336963,0.6287317620650954,0.679835712888715,0.6464088397790055,0.41907081303859123
16,0.5549,0.5549,0.732067346572876,0.3688400983810425,0.47096630930900574,0.007066000494484915,0.014971408668618895,0.6266939401687548,0.5356371490280778,0.5883568075117371,0.3365695792880259,0.640251572327044,0.5419161676646707,0.5723404255319149,0.46946329426280076,0.5959067110899572,0.5535714285714286,0.6652593486127865,0.6452513966480447,0.6372399797057331,0.47244094488188976,0.32156753752084494,0.43651565234299045,0.6525252525252525,0.7160179933502836,0.6795580110497238,0.442862495316598
17,0.5621,0.5621,0.7255221605300903,0.36054930090904236,0.4741887152194977,0.006723893718676828,0.014149944018706227,0.6617233444131936,0.5655661832767664,0.5669483568075118,0.3883495145631068,0.5924528301886792,0.5329341317365269,0.6070921985815603,0.5052436767427514,0.6368396001903855,0.53125,0.6396260554885405,0.6787709497206704,0.6494165398274987,0.48031496062992124,0.3629794330183435,0.404238771145246,0.6505050505050505,0.7774300801877567,0.6408839779005525,0.48370176095916073
18,0.5691,0.5691,0.7099159359931946,0.35257330536842346,0.47712287306785583,0.006371691055932297,0.013326471948619823,0.667604193300946,0.564640543042271,0.5539906103286385,0.4368932038834951,0.5490566037735849,0.5269461077844312,0.6638297872340425,0.5564466378778532,0.666825321275583,0.5357142857142857,0.6058504221954162,0.7178770949720671,0.665144596651446,0.4645669291338583,0.41161756531406335,0.3873225743729341,0.6361391694725028,0.8097007627615881,0.6408839779005525,0.497002622705133
19,0.5742,0.5742,0.707273542881012,0.3444695770740509,0.4799709916114807,0.006359475989789103,0.013222161212845385,0.6637688570698032,0.5538414069731564,0.5631924882629108,0.5048543689320388,0.5213836477987421,0.5209580838323353,0.6950354609929078,0.6132017273288094,0.6782484531175631,0.53125,0.5907720144752714,0.7262569832402235,0.6768138001014713,0.44881889763779526,0.49332962757087273,0.3849893058526152,0.6181818181818182,0.8245648347349892,0.6408839779005525,0.49606594230048706
20,0.5817,0.5817,0.6603848338127136,0.33409926295280457,0.482109397649765,0.005596865012785306,0.011585088263678964,0.6568652518537459,0.5470533785868559,0.5740845070422536,0.5857605177993528,0.5289308176100629,0.48952095808383234,0.7141843971631205,0.6526835286859963,0.6825321275583056,0.5535714285714286,0.5943908323281062,0.7374301675977654,0.6773211567732116,0.4330708661417323,0.5514174541411896,0.38012832976861755,0.6029180695847363,0.8226090357911207,0.6077348066298343,0.5129261895841138
21,0.5928,0.5928,0.7059246301651001,0.32693907618522644,0.4848592281341553,0.005818689760166743,0.01197608159571704,0.6599335208386602,0.5529157667386609,0.5966197183098592,0.6019417475728155,0.5490566037735849,0.4865269461077844,0.7226950354609929,0.6656384947563233,0.6772965254640647,0.5535714285714286,0.6133896260554885,0.7318435754189944,0.6773211567732116,0.47244094488188976,0.5742078932740411,0.39218355045693176,0.6026936026936027,0.8149814199100333,0.6022099447513812,0.5301611090295991
22,0.6019,0.6019,0.6941412091255188,0.32009607553482056,0.48739710450172424,0.00535870678716761,0.010972028166781837,0.6627461007414983,0.5698858377044123,0.612018779342723,0.5760517799352751,0.5855345911949685,0.5134730538922155,0.7049645390070922,0.6502159161011721,0.6701570680628273,0.59375,0.6450542822677925,0.723463687150838,0.6737696600710299,0.4881889763779528,0.547526403557532,0.4258215049581956,0.6215488215488215,0.8024643066692744,0.6243093922651933,0.5487073810415886
23,0.6112,0.6112,0.6430986523628235,0.3105144500732422,0.4891994595527649,0.004572456261409306,0.009327746435259233,0.6709281513679366,0.5853131749460043,0.6191549295774648,0.5210355987055016,0.6138364779874214,0.5479041916167665,0.7056737588652482,0.5977791486736582,0.6777724892908139,0.59375,0.6607358262967431,0.7178770949720671,0.6813800101471335,0.5196850393700787,0.47887715397443026,0.45634843476570097,0.6437710437710438,0.7993350283590847,0.6519337016574586,0.5745597602098164
24,0.6132,0.6132,0.6821514368057251,0.3034106492996216,0.49150416254997253,0.0046226515324271885,0.009386015152629589,0.6837126054717464,0.6001234186979327,0.6206572769953052,0.4401294498381877,0.6163522012578616,0.5763473053892215,0.7049645390070922,0.5496607032695867,0.6972870061875297,0.6160714285714286,0.6743063932448733,0.7178770949720671,0.6874682902080163,0.5590551181102362,0.4021678710394664,0.4841532179661676,0.6585858585858586,0.8089184431840407,0.6519337016574586,0.5991007868115399
25,0.6124,0.6124,0.6894092559814453,0.2970283627510071,0.4938759207725525,0.004591041912290727,0.009277157605736072,0.6901048325236513,0.6032088861462511,0.619906103286385,0.4077669902912621,0.6119496855345912,0.5853293413173652,0.7170212765957447,0.5305367057371992,0.7015706806282722,0.6160714285714286,0.6715922798552473,0.7402234636871509,0.7072552004058853,0.5748031496062992,0.36436909394107836,0.495819560567762,0.6745230078563412,0.8186974379033836,0.6574585635359116,0.6034095166729112
