round,global_acc,per_client_gen_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.1833,0.1833,0.2201417004048583,0.004324992276799506,0.00244085617724371,0.032362459546925564,0.03332222592469177,0.016666666666666666,0.17592592592592593,0.29596412556053814,0.6265581277028746,0.14049586776859505,0.3633136094674556,0.2757660167130919,0.06720160481444333,0.19393939393939394,0.13428081352609655,0.24070247933884298,0.0197869101978691,0.30463312785842117,0.12048192771084337,0.03612295265873906,0.2201417004048583,0.004324992276799506,0.00244085617724371,0.032362459546925564,0.03332222592469177,0.016666666666666666,0.17592592592592593,0.29596412556053814,0.6265581277028746,0.14049586776859505,0.3633136094674556,0.2757660167130919,0.06720160481444333,0.19393939393939394,0.13428081352609655,0.24070247933884298,0.0197869101978691,0.30463312785842117,0.12048192771084337,0.03612295265873906
1,0.2472,0.2472,0.23026315789473684,0.04819277108433735,0.003942921517085993,0.038834951456310676,0.035654781739420195,0.02638888888888889,0.36081242532855434,0.28419282511210764,0.6904095649961842,0.15702479338842976,0.3230769230769231,0.5682451253481894,0.5416248746238717,0.20606060606060606,0.1391815731438373,0.3932998819362456,0.02054794520547945,0.38079140982302645,0.1566265060240964,0.05115548575274848,0.23026315789473684,0.04819277108433735,0.003942921517085993,0.038834951456310676,0.035654781739420195,0.02638888888888889,0.36081242532855434,0.28419282511210764,0.6904095649961842,0.15702479338842976,0.3230769230769231,0.5682451253481894,0.5416248746238717,0.20606060606060606,0.1391815731438373,0.3932998819362456,0.02054794520547945,0.38079140982302645,0.1566265060240964,0.05115548575274848
2,0.354,0.354,0.2998481781376518,0.1646586345381526,0.07791963950431843,0.05825242718446602,0.038320559813395536,0.05138888888888889,0.4543010752688172,0.2763452914798206,0.6825235309081659,0.19834710743801653,0.25207100591715975,0.6740947075208914,0.7442326980942828,0.21515151515151515,0.13428081352609655,0.6964285714285714,0.3310502283105023,0.5195863988864585,0.5421686746987951,0.16984518734574827,0.2998481781376518,0.1646586345381526,0.07791963950431843,0.05825242718446602,0.038320559813395536,0.05138888888888889,0.4543010752688172,0.2763452914798206,0.6825235309081659,0.19834710743801653,0.25207100591715975,0.6740947075208914,0.7442326980942828,0.21515151515151515,0.13428081352609655,0.6964285714285714,0.3310502283105023,0.5195863988864585,0.5421686746987951,0.16984518734574827
3,0.4091,0.4091,0.38436234817813764,0.26135310472659873,0.1015771686068344,0.07119741100323625,0.09963345551482838,0.1125,0.4572879330943847,0.2954035874439462,0.7257695242940727,0.2231404958677686,0.3289940828402367,0.6406685236768802,0.6429287863590772,0.2696969696969697,0.13624111737319283,0.707939787485242,0.3926940639269406,0.6621594750447405,0.6024096385542169,0.37715952434372896,0.38436234817813764,0.26135310472659873,0.1015771686068344,0.07119741100323625,0.09963345551482838,0.1125,0.4572879330943847,0.2954035874439462,0.7257695242940727,0.2231404958677686,0.3289940828402367,0.6406685236768802,0.6429287863590772,0.2696969696969697,0.13624111737319283,0.707939787485242,0.3926940639269406,0.6621594750447405,0.6024096385542169,0.37715952434372896
4,0.4371,0.4371,0.38284412955465585,0.26567809700339823,0.13180623357116034,0.08090614886731391,0.10263245584805065,0.1111111111111111,0.496415770609319,0.29652466367713004,0.7270414652760112,0.2644628099173554,0.3254437869822485,0.6991643454038997,0.7331995987963892,0.2696969696969697,0.14432737074246507,0.8327922077922078,0.5182648401826484,0.6633525551799563,0.6506024096385542,0.3803006506618802,0.38284412955465585,0.26567809700339823,0.13180623357116034,0.08090614886731391,0.10263245584805065,0.1111111111111111,0.496415770609319,0.29652466367713004,0.7270414652760112,0.2644628099173554,0.3254437869822485,0.6991643454038997,0.7331995987963892,0.2696969696969697,0.14432737074246507,0.8327922077922078,0.5182648401826484,0.6633525551799563,0.6506024096385542,0.3803006506618802
5,0.4838,0.4838,0.4124493927125506,0.31047265987025024,0.23469770935035675,0.11003236245954692,0.18527157614128623,0.2013888888888889,0.5328554360812425,0.30493273542600896,0.737725769524294,0.33884297520661155,0.3727810650887574,0.7047353760445683,0.7592778335005015,0.30606060606060603,0.14873805439843177,0.8519775678866588,0.5684931506849316,0.6762775899781268,0.6867469879518072,0.5086380973749158,0.4124493927125506,0.31047265987025024,0.23469770935035675,0.11003236245954692,0.18527157614128623,0.2013888888888889,0.5328554360812425,0.30493273542600896,0.737725769524294,0.33884297520661155,0.3727810650887574,0.7047353760445683,0.7592778335005015,0.30606060606060603,0.14873805439843177,0.8519775678866588,0.5684931506849316,0.6762775899781268,0.6867469879518072,0.5086380973749158
6,0.5027,0.5027,0.4562246963562753,0.3543404386777881,0.2728126173488547,0.15210355987055016,0.22159280239920026,0.24444444444444444,0.5516726403823178,0.33464125560538116,0.7514627321292292,0.35537190082644626,0.41420118343195267,0.7437325905292479,0.7662988966900702,0.3303030303030303,0.17863268806665034,0.8524203069657615,0.5791476407914764,0.6929807118711473,0.6746987951807228,0.4947273951088176,0.4562246963562753,0.3543404386777881,0.2728126173488547,0.15210355987055016,0.22159280239920026,0.24444444444444444,0.5516726403823178,0.33464125560538116,0.7514627321292292,0.35537190082644626,0.41420118343195267,0.7437325905292479,0.7662988966900702,0.3303030303030303,0.17863268806665034,0.8524203069657615,0.5791476407914764,0.6929807118711473,0.6746987951807228,0.4947273951088176
7,0.5307,0.5307,0.4812753036437247,0.39635464936669756,0.31055200901239205,0.15210355987055016,0.28490503165611464,0.2986111111111111,0.5824372759856631,0.3312780269058296,0.761383871788349,0.39669421487603307,0.4319526627218935,0.7325905292479109,0.7853560682046138,0.3696969696969697,0.18402352364616514,0.8686540731995277,0.6225266362252664,0.7015311195068602,0.6987951807228916,0.5923266771370878,0.4812753036437247,0.39635464936669756,0.31055200901239205,0.15210355987055016,0.28490503165611464,0.2986111111111111,0.5824372759856631,0.3312780269058296,0.761383871788349,0.39669421487603307,0.4319526627218935,0.7325905292479109,0.7853560682046138,0.3696969696969697,0.18402352364616514,0.8686540731995277,0.6225266362252664,0.7015311195068602,0.6987951807228916,0.5923266771370878
8,0.5616,0.5616,0.5192307692307693,0.43435279579857894,0.3293278257604206,0.1941747572815534,0.34955014995001665,0.3486111111111111,0.6051373954599761,0.3508968609865471,0.7771559399643857,0.4297520661157025,0.49940828402366866,0.7493036211699164,0.7813440320962889,0.4212121212121212,0.20142122028914483,0.8593565525383707,0.636986301369863,0.7178365480214755,0.7349397590361446,0.6589634283150101,0.5192307692307693,0.43435279579857894,0.3293278257604206,0.1941747572815534,0.34955014995001665,0.3486111111111111,0.6051373954599761,0.3508968609865471,0.7771559399643857,0.4297520661157025,0.49940828402366866,0.7493036211699164,0.7813440320962889,0.4212121212121212,0.20142122028914483,0.8593565525383707,0.636986301369863,0.7178365480214755,0.7349397590361446,0.6589634283150101
9,0.565,0.565,0.5040485829959515,0.4306456595613222,0.3454750281637251,0.21359223300970873,0.37054315228257245,0.3486111111111111,0.6305256869772998,0.3548206278026906,0.7870770796235055,0.45454545454545453,0.4863905325443787,0.7465181058495822,0.8144433299899699,0.43333333333333335,0.21538838519970596,0.8696871310507674,0.6278538812785388,0.7009345794392523,0.7590361445783133,0.6551492035001122,0.5040485829959515,0.4306456595613222,0.3454750281637251,0.21359223300970873,0.37054315228257245,0.3486111111111111,0.6305256869772998,0.3548206278026906,0.7870770796235055,0.45454545454545453,0.4863905325443787,0.7465181058495822,0.8144433299899699,0.43333333333333335,0.21538838519970596,0.8696871310507674,0.6278538812785388,0.7009345794392523,0.7590361445783133,0.6551492035001122
