round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
10,0.5365,0.46280364372469635,0.3352904820766378,0.4984037558685446,0.2459546925566343,0.4349315068493151,0.29906542056074764,0.7448347107438017,0.4052690582959641,0.719735503560529,0.4380165289256198,0.4780388151174668,0.6713091922005571,0.5892323030907278,0.3858695652173913,0.25067385444743934,0.5840590405904059,0.4205208801077683,0.7389008409935459,0.5263157894736842,0.7307001795332136
11,0.5455,0.4542004048582996,0.3111866501854141,0.5271361502347418,0.2524271844660194,0.4452054794520548,0.2691588785046729,0.7510330578512396,0.4304932735426009,0.7416073245167853,0.4793388429752066,0.48008171603677224,0.6935933147632312,0.5867397806580259,0.41304347826086957,0.28277382994364125,0.592619926199262,0.41850022451728786,0.7520046939174653,0.5087719298245614,0.7318222621184919
12,0.5529,0.4526821862348178,0.2938813349814586,0.5273239436619719,0.2783171521035599,0.4452054794520548,0.2672897196261682,0.7660123966942148,0.4439461883408072,0.7647507629704985,0.5041322314049587,0.49948927477017363,0.7047353760445683,0.5882352941176471,0.45652173913043476,0.2987012987012987,0.615350553505535,0.42501122586439155,0.7568941912771368,0.4853801169590643,0.7300269299820467
13,0.5627,0.44711538461538464,0.2877008652657602,0.5299530516431925,0.28802588996763756,0.4520547945205479,0.2560747663551402,0.7696280991735537,0.46300448430493274,0.7736520854526958,0.5289256198347108,0.5178753830439223,0.7381615598885793,0.6116650049850448,0.46195652173913043,0.32345013477088946,0.6361623616236163,0.4726088908845981,0.7465284568746333,0.5380116959064327,0.7374326750448833
14,0.5726,0.4526821862348178,0.292336217552534,0.5286384976525822,0.3074433656957929,0.4589041095890411,0.2672897196261682,0.7660123966942148,0.48150224215246634,0.7822990844354019,0.5206611570247934,0.5515832482124617,0.7520891364902507,0.6395812562313061,0.45108695652173914,0.33864248958588583,0.654760147601476,0.5170633138751684,0.7404654801486407,0.5789473684210527,0.7387791741472173
15,0.5845,0.472419028340081,0.31983930778739184,0.5363380281690141,0.3300970873786408,0.4726027397260274,0.2803738317757009,0.7634297520661157,0.4977578475336323,0.7848423194303153,0.5206611570247934,0.5791624106230848,0.7437325905292479,0.6620139581256231,0.5217391304347826,0.3481989708404803,0.6668634686346864,0.5511899416255052,0.738705261099159,0.5730994152046783,0.7356373429084381
16,0.5953,0.4972165991902834,0.357849196538937,0.5554929577464789,0.343042071197411,0.4828767123287671,0.32897196261682243,0.7592975206611571,0.5056053811659192,0.7800101729399797,0.5371900826446281,0.5842696629213483,0.7325905292479109,0.6784646061814557,0.5489130434782609,0.3648615535407988,0.6761623616236162,0.5707229456668164,0.7336201838451007,0.5964912280701754,0.7320466786355476
17,0.6046,0.5164473684210527,0.38597033374536466,0.5744600938967136,0.3656957928802589,0.4897260273972603,0.36074766355140186,0.7701446280991735,0.5039237668161435,0.7718718209562564,0.5454545454545454,0.5914198161389173,0.7325905292479109,0.6914257228315055,0.592391304347826,0.36633178142612105,0.6826568265682657,0.5848675348001796,0.7412477997261882,0.5906432748538012,0.7477558348294434
18,0.6127,0.5285931174089069,0.3983312731767614,0.5954929577464789,0.36893203883495146,0.4863013698630137,0.3644859813084112,0.7871900826446281,0.49887892376681614,0.7678026449643948,0.5371900826446281,0.59244126659857,0.7493036211699164,0.6979062811565304,0.5706521739130435,0.37662337662337664,0.6847232472324724,0.5803771890435564,0.7561118716995893,0.5906432748538012,0.7713195691202872
19,0.6145,0.5369433198380567,0.40451174289245984,0.6170892018779343,0.3656957928802589,0.4657534246575342,0.3794392523364486,0.800103305785124,0.49831838565022424,0.7665310274669379,0.5454545454545454,0.5822267620020429,0.7632311977715878,0.6919242273180458,0.5489130434782609,0.3746630727762803,0.6813284132841328,0.5588235294117647,0.7678466653628007,0.6023391812865497,0.7856822262118492
20,0.6149,0.5316295546558705,0.4020395550061805,0.6309859154929578,0.37216828478964403,0.4897260273972603,0.3719626168224299,0.8150826446280992,0.49831838565022424,0.7754323499491353,0.5371900826446281,0.5669050051072523,0.7799442896935933,0.6774675972083749,0.5217391304347826,0.3678020093114433,0.6888560885608856,0.537269869779973,0.7782123997653041,0.5672514619883041,0.7901705565529623
21,0.6181,0.5288461538461539,0.3952410383189122,0.6465727699530517,0.3851132686084142,0.4931506849315068,0.37383177570093457,0.8290289256198347,0.492152466367713,0.7817904374364191,0.5454545454545454,0.5413687436159347,0.807799442896936,0.6704885343968096,0.5163043478260869,0.36853712325410437,0.698450184501845,0.5229007633587787,0.7860355955407784,0.5789473684210527,0.7885996409335727
22,0.6205,0.5250506072874493,0.40080346106304077,0.6582159624413145,0.3883495145631068,0.4965753424657534,0.3794392523364486,0.8429752066115702,0.4859865470852018,0.7904374364191251,0.5702479338842975,0.5321756894790602,0.8050139275766016,0.6679960119641076,0.5434782608695652,0.3719676549865229,0.7132103321033211,0.5235743152222722,0.785253275963231,0.5789473684210527,0.7854578096947935
23,0.6265,0.5326417004048583,0.411619283065513,0.668169014084507,0.37216828478964403,0.5205479452054794,0.39626168224299063,0.84349173553719,0.48710762331838564,0.7939979654120041,0.5537190082644629,0.5352400408580184,0.7910863509749304,0.6849451645064806,0.5380434782608695,0.37662337662337664,0.7244280442804428,0.5374943870678042,0.7848621161744572,0.5730994152046783,0.7935368043087971
24,0.6291,0.5392206477732794,0.42552533992583436,0.6674178403755868,0.3883495145631068,0.523972602739726,0.411214953271028,0.8388429752066116,0.4994394618834081,0.7998474059003052,0.5785123966942148,0.5546475995914198,0.7966573816155988,0.6929212362911267,0.5489130434782609,0.38250428816466553,0.7304797047970479,0.5484957341715312,0.7848621161744572,0.5906432748538012,0.7986983842010772
25,0.6327,0.5483299595141701,0.43139678615574784,0.6495774647887324,0.43042071197411,0.5376712328767124,0.4205607476635514,0.8290289256198347,0.5218609865470852,0.8128179043743642,0.6033057851239669,0.5709908069458631,0.7799442896935933,0.6984047856430707,0.5652173913043478,0.40112717471208037,0.7334317343173432,0.5745397395599461,0.7831018971249756,0.6198830409356725,0.802064631956912
26,0.6382,0.5630060728744939,0.4511742892459827,0.6300469483568075,0.4336569579288026,0.5547945205479452,0.4355140186915888,0.8243801652892562,0.5347533632286996,0.8156154628687691,0.5702479338842975,0.6057201225740552,0.7715877437325905,0.7028913260219342,0.592391304347826,0.4190149473168341,0.7238376383763838,0.5947462954647508,0.7877958145902602,0.6374269005847953,0.8087971274685817
27,0.6415,0.5733805668016194,0.45920889987639063,0.6268544600938967,0.4401294498381877,0.5753424657534246,0.4411214953271028,0.8243801652892562,0.5375560538116592,0.818413021363174,0.5950413223140496,0.6210418794688458,0.7632311977715878,0.7203389830508474,0.6141304347826086,0.43102180838029897,0.7266420664206642,0.6106870229007634,0.7901427733229024,0.672514619883041,0.802737881508079
28,0.6448,0.5817307692307693,0.47126081582200247,0.6345539906103287,0.44983818770226536,0.565068493150685,0.45794392523364486,0.824896694214876,0.5386771300448431,0.8133265513733469,0.5950413223140496,0.6189989785495403,0.7465181058495822,0.7283150548354935,0.6358695652173914,0.4344523401127175,0.734760147601476,0.6234845083071396,0.782515157441815,0.6842105263157895,0.7937612208258528
