round,global_acc,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19,hybrid_c00,hybrid_c01,hybrid_c02,hybrid_c03,hybrid_c04,hybrid_c05,hybrid_c06,hybrid_c07,hybrid_c08,hybrid_c09,hybrid_c10,hybrid_c11,hybrid_c12,hybrid_c13,hybrid_c14,hybrid_c15,hybrid_c16,hybrid_c17,hybrid_c18,hybrid_c19
0,0.2218,0.20192307692307693,0.04048207663782447,0.0431924882629108,0.042071197411003236,0.1232876712328767,0.03177570093457944,0.6084710743801653,0.20908071748878923,0.34766022380467954,0.11570247933884298,0.24616956077630234,0.7409470752089137,0.4017946161515454,0.125,0.0490075961774075,0.4340959409594096,0.05814997754827122,0.3821631136319186,0.1111111111111111,0.04129263913824058,0.20192307692307693,0.04048207663782447,0.0431924882629108,0.042071197411003236,0.1232876712328767,0.03177570093457944,0.6084710743801653,0.20908071748878923,0.34766022380467954,0.11570247933884298,0.24616956077630234,0.7409470752089137,0.4017946161515454,0.125,0.0490075961774075,0.4340959409594096,0.05814997754827122,0.3821631136319186,0.1111111111111111,0.04129263913824058
1,0.2654,0.30288461538461536,0.07818294190358467,0.012957746478873239,0.05177993527508091,0.2363013698630137,0.044859813084112146,0.6895661157024794,0.31053811659192826,0.5696846388606307,0.1652892561983471,0.3472931562819203,0.7966573816155988,0.38534396809571286,0.23369565217391305,0.10095564812545944,0.3974907749077491,0.018410417602155366,0.5354977508312145,0.1111111111111111,0.0742818671454219,0.30288461538461536,0.07818294190358467,0.012957746478873239,0.05177993527508091,0.2363013698630137,0.044859813084112146,0.6895661157024794,0.31053811659192826,0.5696846388606307,0.1652892561983471,0.3472931562819203,0.7966573816155988,0.38534396809571286,0.23369565217391305,0.10095564812545944,0.3974907749077491,0.018410417602155366,0.5354977508312145,0.1111111111111111,0.0742818671454219
2,0.3396,0.34539473684210525,0.14091470951792337,0.08431924882629108,0.06472491909385113,0.3013698630136986,0.07850467289719626,0.7458677685950413,0.32623318385650224,0.6739572736520855,0.2231404958677686,0.33605720122574056,0.7938718662952646,0.3813559322033898,0.32065217391304346,0.11810830678755208,0.5520295202952029,0.061068702290076333,0.6176413064736945,0.15789473684210525,0.26974865350089766,0.34539473684210525,0.14091470951792337,0.08431924882629108,0.06472491909385113,0.3013698630136986,0.07850467289719626,0.7458677685950413,0.32623318385650224,0.6739572736520855,0.2231404958677686,0.33605720122574056,0.7938718662952646,0.3813559322033898,0.32065217391304346,0.11810830678755208,0.5520295202952029,0.061068702290076333,0.6176413064736945,0.15789473684210525,0.26974865350089766
3,0.4126,0.3567813765182186,0.1915945611866502,0.2552112676056338,0.0744336569579288,0.3527397260273973,0.11962616822429907,0.7871900826446281,0.3077354260089686,0.7095625635808749,0.2892561983471074,0.3023493360572012,0.7771587743732591,0.39730807577268196,0.33695652173913043,0.12276402842440579,0.6518081180811808,0.10574764256847777,0.6696655583805985,0.2573099415204678,0.5031418312387792,0.3567813765182186,0.1915945611866502,0.2552112676056338,0.0744336569579288,0.3527397260273973,0.11962616822429907,0.7871900826446281,0.3077354260089686,0.7095625635808749,0.2892561983471074,0.3023493360572012,0.7771587743732591,0.39730807577268196,0.33695652173913043,0.12276402842440579,0.6518081180811808,0.10574764256847777,0.6696655583805985,0.2573099415204678,0.5031418312387792
4,0.4247,0.3805668016194332,0.1810877626699629,0.28713615023474176,0.10355987055016182,0.3184931506849315,0.13457943925233645,0.7675619834710744,0.3480941704035874,0.7202441505595117,0.2809917355371901,0.355464759959142,0.807799442896936,0.40927218344965105,0.33695652173913043,0.14212202891448175,0.6017712177121771,0.11315671306690615,0.7005671816937219,0.24561403508771928,0.566427289048474,0.3805668016194332,0.1810877626699629,0.28713615023474176,0.10355987055016182,0.3184931506849315,0.13457943925233645,0.7675619834710744,0.3480941704035874,0.7202441505595117,0.2809917355371901,0.355464759959142,0.807799442896936,0.40927218344965105,0.33695652173913043,0.14212202891448175,0.6017712177121771,0.11315671306690615,0.7005671816937219,0.24561403508771928,0.566427289048474
5,0.4789,0.4008097165991903,0.22775030902348578,0.42704225352112674,0.10679611650485436,0.3664383561643836,0.18317757009345795,0.7784090909090909,0.3374439461883408,0.7393184130213631,0.35537190082644626,0.3503575076608784,0.8022284122562674,0.43020937188434694,0.3641304347826087,0.1399166870864984,0.6552029520295203,0.1621014818140997,0.7365538822609036,0.32748538011695905,0.6916517055655296,0.4008097165991903,0.22775030902348578,0.42704225352112674,0.10679611650485436,0.3664383561643836,0.18317757009345795,0.7784090909090909,0.3374439461883408,0.7393184130213631,0.35537190082644626,0.3503575076608784,0.8022284122562674,0.43020937188434694,0.3641304347826087,0.1399166870864984,0.6552029520295203,0.1621014818140997,0.7365538822609036,0.32748538011695905,0.6916517055655296
6,0.5061,0.40789473684210525,0.2407292954264524,0.4831924882629108,0.1650485436893204,0.3801369863013699,0.21495327102803738,0.8011363636363636,0.351457399103139,0.7655137334689726,0.371900826446281,0.3707865168539326,0.7910863509749304,0.4666001994017946,0.3641304347826087,0.18279833374172996,0.6881180811808119,0.21171980242478672,0.7394875806767064,0.38011695906432746,0.716786355475763,0.40789473684210525,0.2407292954264524,0.4831924882629108,0.1650485436893204,0.3801369863013699,0.21495327102803738,0.8011363636363636,0.351457399103139,0.7655137334689726,0.371900826446281,0.3707865168539326,0.7910863509749304,0.4666001994017946,0.3641304347826087,0.18279833374172996,0.6881180811808119,0.21171980242478672,0.7394875806767064,0.38011695906432746,0.716786355475763
7,0.5192,0.41953441295546556,0.2521631644004944,0.47624413145539907,0.19093851132686085,0.410958904109589,0.2205607476635514,0.8125,0.3710762331838565,0.7807731434384537,0.38016528925619836,0.38508682328907046,0.8022284122562674,0.49700897308075775,0.40217391304347827,0.19578534672874295,0.7123247232472325,0.25258194881005835,0.7432035986700567,0.38596491228070173,0.7223967684021544,0.41953441295546556,0.2521631644004944,0.47624413145539907,0.19093851132686085,0.410958904109589,0.2205607476635514,0.8125,0.3710762331838565,0.7807731434384537,0.38016528925619836,0.38508682328907046,0.8022284122562674,0.49700897308075775,0.40217391304347827,0.19578534672874295,0.7123247232472325,0.25258194881005835,0.7432035986700567,0.38596491228070173,0.7223967684021544
8,0.538,0.4410425101214575,0.27595797280593326,0.5186854460093897,0.24271844660194175,0.4315068493150685,0.2336448598130841,0.8130165289256198,0.4147982062780269,0.7825534079348931,0.4049586776859504,0.39734422880490294,0.8189415041782729,0.4930209371884347,0.42934782608695654,0.25459446214163195,0.7056826568265683,0.26740008980691515,0.7662820262077058,0.40350877192982454,0.7522441651705566,0.4410425101214575,0.27595797280593326,0.5186854460093897,0.24271844660194175,0.4315068493150685,0.2336448598130841,0.8130165289256198,0.4147982062780269,0.7825534079348931,0.4049586776859504,0.39734422880490294,0.8189415041782729,0.4930209371884347,0.42934782608695654,0.25459446214163195,0.7056826568265683,0.26740008980691515,0.7662820262077058,0.40350877192982454,0.7522441651705566
9,0.5555,0.4526821862348178,0.30778739184178,0.5461032863849765,0.2815533980582524,0.4383561643835616,0.2691588785046729,0.8192148760330579,0.4198430493273543,0.7767039674465921,0.4380165289256198,0.44433094994892747,0.8161559888579387,0.5528414755732801,0.42391304347826086,0.2666013232050968,0.701549815498155,0.3493488998652896,0.7778212399765304,0.43859649122807015,0.7484290843806104,0.4526821862348178,0.30778739184178,0.5461032863849765,0.2815533980582524,0.4383561643835616,0.2691588785046729,0.8192148760330579,0.4198430493273543,0.7767039674465921,0.4380165289256198,0.44433094994892747,0.8161559888579387,0.5528414755732801,0.42391304347826086,0.2666013232050968,0.701549815498155,0.3493488998652896,0.7778212399765304,0.43859649122807015,0.7484290843806104
