round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
185,0,0,0,,,,0.471
186,0,0,0,,,,0.4833
187,0,0,0,,,,0.4541
188,0,0,0,,,,0.4825
189,0,0,0,,,,0.466
190,0,0,0,,,,0.4794
191,0,0,0,,,,0.4662
192,0,0,0,,,,0.4808
193,0,0,0,,,,0.4651
194,0,0,0,,,,0.486
195,0,0,0,,,,0.4664
196,0,0,0,,,,0.4966
197,0,0,0,,,,0.469
198,0,0,0,,,,0.4641
199,0,0,0,,,,0.4698
