round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2014,0.2014,0.0099,0.010000000000000002,0.01,0.01,0.2117914979757085,0.004633920296570899,0.0026286143447239955,0.03559870550161812,0.03432189270243252,0.016666666666666666,0.23805256869772998,0.2875560538116592,0.6484355125922158,0.1487603305785124,0.3514792899408284,0.38997214484679665,0.2337011033099298,0.20303030303030303,0.13501592746875765,0.2947166469893743,0.02054794520547945,0.31119506860210777,0.1566265060240964,0.035449854161992374
1,0.25,0.25,0.009801,0.005439696206345884,0.005420612619379867,0.00551092487865781,0.2158400809716599,0.05282669138090825,0.006383777694329703,0.038834951456310676,0.035654781739420195,0.027777777777777776,0.3709677419354839,0.2713004484304933,0.6820147545153905,0.14049586776859505,0.2863905325443787,0.5988857938718662,0.567703109327984,0.20909090909090908,0.137221269296741,0.4172077922077922,0.03424657534246575,0.3603102008351561,0.18072289156626506,0.049136190262508414
2,0.3416,0.3416,0.00970299,0.00446635306908511,0.0041740238649426355,0.0058342006224853795,0.2768218623481781,0.15291936978683968,0.07510326699211416,0.05501618122977346,0.04031989336887704,0.05694444444444444,0.4441457586618877,0.2617713004484305,0.676672602391249,0.2066115702479339,0.22130177514792898,0.6518105849582173,0.724172517552658,0.20606060606060606,0.13085028179367802,0.6765053128689492,0.3074581430745814,0.4977132630741698,0.5180722891566265,0.18846757908907336
3,0.3885,0.3885,0.0096059601,0.004770642349895578,0.0036606600133314775,0.00673860860321711,0.3350202429149798,0.21902996601791783,0.0938790837401427,0.06472491909385113,0.05498167277574142,0.0875,0.4551971326164875,0.2757847533632287,0.7056728567794455,0.2231404958677686,0.26272189349112424,0.6629526462395543,0.7001003009027081,0.23333333333333334,0.1320754716981132,0.7287485242030697,0.393455098934551,0.6046927818651819,0.5903614457831325,0.31545882880861564
4,0.4183,0.4183,0.009509900499,0.005299275011946795,0.0037056957330958195,0.007512698714689266,0.3443825910931174,0.2304603027494594,0.1169733383402178,0.0744336569579288,0.0716427857380873,0.10555555555555556,0.482078853046595,0.2741031390134529,0.704400915797507,0.2644628099173554,0.2485207100591716,0.6852367688022284,0.7602808425275828,0.2696969696969697,0.1301151678510169,0.8234946871310508,0.4901065449010654,0.5951481407834559,0.6385542168674698,0.3780569890060579
5,0.4491,0.4491,0.00941480149401,0.005952095215849311,0.004163399359743455,0.0078738032068113,0.38436234817813764,0.2795798578931109,0.14964325948178744,0.08737864077669903,0.10796401199600134,0.12777777777777777,0.49372759856630827,0.2825112107623318,0.7120325616891376,0.2727272727272727,0.3029585798816568,0.6908077994428969,0.7171514543630892,0.25757575757575757,0.1320754716981132,0.8358913813459268,0.5418569254185692,0.675681049910519,0.6746987951807228,0.4487323311644604
6,0.4614,0.4614,0.0093206534790699,0.0065795812756230965,0.003932697347094908,0.009115680192426371,0.39043522267206476,0.28637627432808155,0.17837025910627113,0.09385113268608414,0.17027657447517494,0.1763888888888889,0.52389486260454,0.2897982062780269,0.7336555583820911,0.2892561983471074,0.3479289940828402,0.7158774373259053,0.7642928786359077,0.2787878787878788,0.14408233276157806,0.8544864226682408,0.5532724505327246,0.6450586597733148,0.6987951807228916,0.4550145838007628
7,0.4895,0.4895,0.0092274469442792,0.007589426015115137,0.005589397394959145,0.01,0.44610323886639675,0.3453815261044177,0.17837025910627113,0.15857605177993528,0.27757414195268243,0.24166666666666667,0.5689964157706093,0.33239910313901344,0.7473925209870262,0.30578512396694213,0.42485207100591715,0.7158774373259053,0.7703109327983951,0.37272727272727274,0.19456015682430777,0.8353010625737899,0.5502283105022832,0.6730960429508849,0.7108433734939759,0.46757908907336776
8,0.5183,0.5183,0.009135172474836408,0.008187669928317211,0.006040004249240086,0.01,0.472165991902834,0.36947791164658633,0.2515959444235824,0.14563106796116504,0.3302232589136954,0.2847222222222222,0.5940860215053764,0.3273542600896861,0.7626558127702875,0.32231404958677684,0.4686390532544379,0.724233983286908,0.769307923771314,0.4090909090909091,0.16907620681205587,0.8274793388429752,0.5662100456621004,0.6957645655199841,0.6987951807228916,0.5714606237379403
9,0.5362,0.5362,0.009043820750088045,0.008276694484036309,0.005477889183232709,0.01,0.49544534412955465,0.40932962619709606,0.2853924145700338,0.18122977346278318,0.37987337554148615,0.33194444444444443,0.6281362007168458,0.34641255605381166,0.7624014245738998,0.34710743801652894,0.493491124260355,0.7437325905292479,0.8034102306920762,0.4303030303030303,0.19848076451850036,0.848435655253837,0.6027397260273972,0.6975541857228077,0.7108433734939759,0.5568768229750953
