round,flagged_count,flagged_layer3_count,flagged_layer4_count,flagged_client_ids,flagged_layer3_ids,flagged_layer4_ids,global_acc
162,0,0,0,,,,0.6175
163,0,0,0,,,,0.6176
164,0,0,0,,,,0.6151
165,0,0,0,,,,0.6177
166,0,0,0,,,,0.6138
167,0,0,0,,,,0.618
168,0,0,0,,,,0.6175
169,0,0,0,,,,0.6158
170,0,0,0,,,,0.6126
171,0,0,0,,,,0.6172
172,0,0,0,,,,0.6184
173,0,0,0,,,,0.6199
174,0,0,0,,,,0.6201
175,0,0,0,,,,0.6103
176,0,0,0,,,,0.6176
177,0,0,0,,,,0.6098
178,0,0,0,,,,0.6132
179,0,0,0,,,,0.6086
180,0,0,0,,,,0.6243
181,0,0,0,,,,0.6145
182,0,0,0,,,,0.617
183,0,0,0,,,,0.6085
184,0,0,0,,,,0.6183
185,0,0,0,,,,0.6215
186,0,0,0,,,,0.6255
187,0,0,0,,,,0.6127
188,0,0,0,,,,0.6044
189,0,0,0,,,,0.6225
190,0,0,0,,,,0.6117
191,0,0,0,,,,0.618
192,0,0,0,,,,0.6047
193,0,0,0,,,,0.6209
194,0,0,0,,,,0.6109
195,0,0,0,,,,0.6282
196,0,0,0,,,,0.611
197,0,0,0,,,,0.6261
198,0,0,0,,,,0.6135
199,0,0,0,,,,0.6251
