round,global_acc,per_client_gen_acc,agg_norm,first_mom_norm,second_mom_norm,delta_mom_norm,flash_amp_new,B_norm,ratio_norm,scaled_delta_norm,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
11,0.4818,0.4818,0.8660625219345093,0.5576660633087158,1.1239957809448242,0.035737477242946625,0.031766765572162965,1.1300151348114014,2651.81591796875,0.03835701197385788,0.49654819739197137,0.37858685590867014,0.5913615023474178,0.33980582524271846,0.48867924528301887,0.36227544910179643,0.5666666666666667,0.4509561998766194,0.5354593050928129,0.49107142857142855,0.5271411338962606,0.6005586592178771,0.5606291222729579,0.33858267716535434,0.33657587548638135,0.39743340462764926,0.5560044893378226,0.6561705456679053,0.5469613259668509,0.34807043836642937
12,0.4958,0.4958,0.820866584777832,0.5476471781730652,1.1213703155517578,0.03634496033191681,0.03238232500300011,1.1297484636306763,2542.783203125,0.03781930357217789,0.5366913832779341,0.4060475161987041,0.5791549295774648,0.3300970873786408,0.5075471698113208,0.37574850299401197,0.6070921985815603,0.43615052436767426,0.5630652070442647,0.5044642857142857,0.5482509047044632,0.6368715083798883,0.5697615423642821,0.3464566929133858,0.2818232351306281,0.4316546762589928,0.5548821548821549,0.7011539213768825,0.5414364640883977,0.3623079805170476
13,0.5067,0.5067,0.8005487322807312,0.5367583632469177,1.1186176538467407,0.03644765540957451,0.03255366265827357,1.129467248916626,2506.97216796875,0.037033937871456146,0.561493224239325,0.4220919469299599,0.5776525821596245,0.3042071197411003,0.5056603773584906,0.4041916167664671,0.6475177304964539,0.41702652683528685,0.5778200856734889,0.5044642857142857,0.5497587454764777,0.6564245810055865,0.5722983257229832,0.33070866141732286,0.24680377987770985,0.4540151662453821,0.5483726150392817,0.7287306864854293,0.5248618784530387,0.3782315473960285
14,0.5142,0.5142,0.7694375514984131,0.5242976546287537,1.1156669855117798,0.03673891723155975,0.032900513499753856,1.129164457321167,2457.901611328125,0.037405554205179214,0.5571465098440297,0.41746374575748224,0.5949295774647887,0.30097087378640774,0.5169811320754717,0.4221556886227545,0.6723404255319149,0.4225786551511413,0.5863874345549738,0.5267857142857143,0.5597104945717732,0.6787709497206704,0.5814307458143074,0.33070866141732286,0.24930516953863258,0.47345907058137277,0.5465768799102132,0.7355759827889693,0.5138121546961326,0.3894717122517797
15,0.5259,0.5259,0.7493784427642822,0.5107997059822083,1.1126010417938232,0.03669809550046921,0.03295443711273364,1.1288484334945679,2433.6259765625,0.036945100873708725,0.5412937867553056,0.4045047824745449,0.6140845070422535,0.33980582524271846,0.5352201257861635,0.42664670658682635,0.6893617021276596,0.43368291178285007,0.6106615897191814,0.5491071428571429,0.5720747889022919,0.6955307262569832,0.5854895991882293,0.3543307086614173,0.2857142857142857,0.4894030721368851,0.5506172839506173,0.7396831605710933,0.5359116022099447,0.4194454852004496
16,0.537,0.537,0.7334722876548767,0.49569210410118103,1.1094512939453125,0.036228228360414505,0.03262477927482939,1.1285221576690674,2350.95654296875,0.0359639897942543,0.5331117361288673,0.3967911138537488,0.6174647887323944,0.3786407766990291,0.5515723270440251,0.41916167664670656,0.6964539007092199,0.4848858729179519,0.6263683960019039,0.5803571428571429,0.5877563329312424,0.6815642458100558,0.5915778792491121,0.36220472440944884,0.3337965536409116,0.48201438848920863,0.5510662177328844,0.7371406219440642,0.5359116022099447,0.45710003746721617
17,0.5428,0.5428,0.717073917388916,0.4817643463611603,1.1062166690826416,0.035965900868177414,0.03248316420125441,1.1281858682632446,2327.8349609375,0.03571876510977745,0.5410380976732293,0.4112928108608454,0.6195305164319249,0.42718446601941745,0.570440251572327,0.41467065868263475,0.676595744680851,0.5188155459592844,0.6392194193241314,0.5982142857142857,0.6046441495778045,0.6675977653631285,0.589041095890411,0.3700787401574803,0.38382434685936634,0.4629593622399378,0.5483726150392817,0.7430080187756699,0.5414364640883977,0.48520044960659425
18,0.5508,0.5508,0.7024847269058228,0.4666512906551361,1.1029109954833984,0.03564153239130974,0.032286599677995284,1.127840280532837,2239.384765625,0.03550635278224945,0.5579135770902582,0.43134834927491517,0.6180281690140845,0.43042071197411,0.5710691823899371,0.4296407185628742,0.6737588652482269,0.5508945095619988,0.6430271299381247,0.59375,0.6127864897466827,0.6731843575418994,0.5920852359208524,0.3858267716535433,0.4191217342968316,0.4376822866031499,0.5546576879910213,0.744181498141991,0.5469613259668509,0.5009366804046459
19,0.5602,0.5602,0.6901975870132446,0.4526914060115814,1.0995510816574097,0.035060372203588486,0.031857105760859566,1.1274875402450562,2216.11181640625,0.03462924435734749,0.5865507542827921,0.47300215982721383,0.6197183098591549,0.45307443365695793,0.590566037735849,0.4745508982035928,0.6822695035460993,0.5613818630475016,0.6444550214183722,0.6026785714285714,0.6299758745476478,0.6815642458100558,0.6062912227295789,0.4015748031496063,0.4385769872151195,0.4221271631343574,0.5661054994388328,0.7457461372970858,0.5469613259668509,0.5026227051330087
20,0.5735,0.5735,0.6712896823883057,0.4372594654560089,1.0960971117019653,0.03465735912322998,0.0315900559335762,1.1271237134933472,2133.586669921875,0.034402575343847275,0.6070058808488877,0.5103363159518667,0.6266666666666667,0.45307443365695793,0.6132075471698113,0.5074850299401198,0.6822695035460993,0.5638494756323257,0.6492146596858639,0.6071428571428571,0.6462605548854041,0.6815642458100558,0.6179604261796042,0.3858267716535433,0.4474708171206226,0.42484930974139606,0.5824915824915825,0.7457461372970858,0.569060773480663,0.5052454102660172
21,0.5834,0.5834,0.6765890121459961,0.4235992133617401,1.0926995277404785,0.0342692956328392,0.03133337334764845,1.1267629861831665,2185.642578125,0.0338994637131691,0.6116082843262592,0.5158901573588399,0.6364319248826291,0.4692556634304207,0.6270440251572327,0.5134730538922155,0.6851063829787234,0.5681677976557681,0.6506425511661114,0.6428571428571429,0.666767189384801,0.6899441340782123,0.6453576864535768,0.4330708661417323,0.4566425792106726,0.4398211160801089,0.5977553310886644,0.7475063563465676,0.585635359116022,0.502997377294867
