round,global_acc,per_client_gen_acc,lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.2143,0.2143,0.01,0.396573766300179,0.18852206109225547,0.0028169014084507044,0.03559870550161812,0.011320754716981131,0.0344311377245509,0.5943262411347517,0.2769895126465145,0.5069014754878629,0.0625,0.09831121833534379,0.6005586592178771,0.2831050228310502,0.08661417322834646,0.033351862145636464,0.20454987361462182,0.007407407407407408,0.6649716409153139,0.049723756906077346,0.08092918696140877
1,0.2298,0.2298,0.01,0.45691638967016107,0.2505399568034557,0.04863849765258216,0.03559870550161812,0.02389937106918239,0.04790419161676647,0.5085106382978724,0.2862430598396052,0.49071870537839124,0.07589285714285714,0.11670687575392039,0.5307262569832403,0.21562658548959918,0.09448818897637795,0.03418565869927738,0.15535679564456542,0.01818181818181818,0.7596323097985527,0.06077348066298342,0.1049082053203447
2,0.3161,0.3161,0.01,0.4676553311173613,0.2878741129281086,0.2584037558685446,0.05177993527508091,0.11572327044025157,0.1377245508982036,0.5439716312056737,0.2634176434299815,0.5049976201808662,0.14732142857142858,0.20536791314837152,0.5195530726256983,0.33384069000507355,0.14960629921259844,0.032240133407448586,0.27804783200466654,0.20202020202020202,0.7561118716995893,0.23756906077348067,0.2255526414387411
3,0.3495,0.3495,0.01,0.48095116338532345,0.29990743597655045,0.24845070422535212,0.06472491909385113,0.20817610062893083,0.17365269461077845,0.6326241134751773,0.27884022208513265,0.5787720133269871,0.18303571428571427,0.29463208685162845,0.61731843575419,0.4211060375443937,0.2283464566929134,0.03613118399110617,0.2799922224382656,0.2489337822671156,0.7672599256796402,0.26519337016574585,0.27800674409891346
4,0.412,0.412,0.01,0.4996164663768857,0.3452638074668312,0.4031924882629108,0.08414239482200647,0.2628930817610063,0.2440119760479042,0.6886524822695036,0.2794571252313387,0.5816277962874822,0.27232142857142855,0.33926417370325695,0.6620111731843575,0.48148148148148145,0.2677165354330709,0.03557531962201223,0.47695897336185106,0.3468013468013468,0.7432035986700567,0.3701657458563536,0.30498313975271635
5,0.4447,0.4447,0.01,0.5474303247251342,0.4177722925023141,0.4381220657276995,0.1488673139158576,0.3433962264150943,0.33682634730538924,0.6524822695035462,0.3078346699568168,0.601142313184198,0.33035714285714285,0.4164656212303981,0.6368715083798883,0.5266362252663622,0.33858267716535434,0.08310172317954419,0.3739062803811005,0.41414141414141414,0.7584588304322316,0.46408839779005523,0.3864743349569127
6,0.4764,0.4764,0.01,0.5768345691638967,0.4470842332613391,0.52,0.20388349514563106,0.37610062893081764,0.35778443113772457,0.6702127659574468,0.36829117828500924,0.5940028557829605,0.3794642857142857,0.43455971049457176,0.6731843575418994,0.5306950786402841,0.3700787401574803,0.15119510839355196,0.4460431654676259,0.442648709315376,0.7719538431449247,0.4696132596685083,0.35275384038965907
7,0.5042,0.5042,0.01,0.5868064433648683,0.4625115705029312,0.5590610328638498,0.23948220064724918,0.4169811320754717,0.39221556886227543,0.7156028368794326,0.39111659469463295,0.615421227986673,0.4375,0.4635102533172497,0.7178770949720671,0.5591070522577372,0.3779527559055118,0.188715953307393,0.4884308769200856,0.4417508417508417,0.7731273225112458,0.49171270718232046,0.370738104158861
8,0.5171,0.5171,0.01,0.6118639734083354,0.4976858994137612,0.5491079812206573,0.2750809061488673,0.42955974842767297,0.4161676646706587,0.6822695035460993,0.41949413942011105,0.6135173726796763,0.4642857142857143,0.4879372738238842,0.6843575418994413,0.5809233891425672,0.3700787401574803,0.21650917176209006,0.4697647287575345,0.5113355780022447,0.7795814590260122,0.5359116022099447,0.3866616710378419
9,0.5387,0.5387,0.01,0.6085400153413449,0.4942918852206109,0.5984976525821596,0.4110032362459547,0.49559748427672956,0.4281437125748503,0.6780141843971631,0.49784083898827886,0.6192289386006663,0.5357142857142857,0.5473462002412546,0.664804469273743,0.5788939624556063,0.3464566929133858,0.34463590883824347,0.4141551623566012,0.5117845117845118,0.783884216702523,0.5248618784530387,0.4529786436867741
10,0.5489,0.5489,0.01,0.623114293019688,0.5202098117864856,0.608075117370892,0.34627831715210355,0.5037735849056604,0.4595808383233533,0.7070921985815602,0.44910549043800124,0.6396953831508805,0.5535714285714286,0.5633293124246079,0.7011173184357542,0.60882800608828,0.4015748031496063,0.26264591439688717,0.4802644370989695,0.5508417508417508,0.7911206727948367,0.5580110497237569,0.45503934057699513
11,0.5616,0.5616,0.01,0.628228074661212,0.5118790496760259,0.6116431924882629,0.39158576051779936,0.5182389937106918,0.46107784431137727,0.7319148936170212,0.49167180752621836,0.661113755354593,0.5580357142857143,0.5781061519903499,0.7206703910614525,0.6336884830035515,0.4015748031496063,0.3193440800444691,0.4693758506708147,0.555331088664422,0.8014864071973401,0.5524861878453039,0.46290745597602095
12,0.5745,0.5745,0.01,0.6548197391971363,0.5615550755939525,0.6197183098591549,0.4368932038834951,0.5364779874213836,0.5014970059880239,0.7092198581560284,0.5040098704503393,0.646834840552118,0.5714285714285714,0.597708082026538,0.7094972067039106,0.6362252663622526,0.4645669291338583,0.3602001111728738,0.4789033637954501,0.5741863075196408,0.8024643066692744,0.585635359116022,0.4842637692019483
13,0.5705,0.5705,0.01,0.6402454615187931,0.5205183585313174,0.6101408450704225,0.4174757281553398,0.5710691823899371,0.4820359281437126,0.7099290780141844,0.49907464528069095,0.6792003807710614,0.6071428571428571,0.6287696019300362,0.729050279329609,0.6549974632166413,0.4330708661417323,0.31712062256809337,0.44429321407738676,0.6042648709315376,0.8151769998044202,0.580110497237569,0.5226676657924316
14,0.5944,0.5944,0.01,0.6640245461518793,0.5581610614008022,0.6542723004694836,0.4627831715210356,0.590566037735849,0.5209580838323353,0.7588652482269503,0.5188155459592844,0.672536887196573,0.625,0.6360072376357057,0.7569832402234636,0.6656519533231862,0.4645669291338583,0.37576431350750417,0.47637565623177136,0.5856341189674523,0.8190885976921572,0.6077348066298343,0.5146122143124766
15,0.5915,0.5915,0.01,0.655842495525441,0.5328602283245911,0.603943661971831,0.49514563106796117,0.569811320754717,0.4880239520958084,0.7354609929078014,0.5453423812461443,0.6972870061875297,0.6071428571428571,0.6329915560916767,0.7374301675977654,0.6692034500253679,0.44881889763779526,0.39744302390216785,0.44643204355434574,0.6134680134680135,0.834343829454332,0.5911602209944752,0.5391532409142
16,0.6121,0.6121,0.01,0.6589107645103555,0.5600123418697933,0.6629107981220658,0.4919093851132686,0.6094339622641509,0.5254491017964071,0.7553191489361702,0.5441085749537322,0.7015706806282722,0.6428571428571429,0.6507840772014475,0.7430167597765364,0.6686960933536276,0.4881889763779528,0.4113396331295164,0.4779311685786506,0.6011223344556678,0.8288675924115001,0.6132596685082873,0.5769951292618959
17,0.6156,0.6156,0.01,0.6837126054717464,0.5831533477321814,0.659906103286385,0.5016181229773463,0.6031446540880503,0.5449101796407185,0.75177304964539,0.5533621221468229,0.6901475487862923,0.625,0.6468636911942099,0.7430167597765364,0.6884830035514967,0.49606299212598426,0.41578654808226795,0.49679175578456153,0.6386083052749719,0.8271073733620183,0.6353591160220995,0.5614462345447733
18,0.6226,0.6226,0.01,0.6860138072104321,0.5951866707806233,0.6614084507042254,0.5242718446601942,0.6119496855345912,0.5538922155688623,0.7695035460992907,0.5761875385564467,0.7039504997620181,0.6294642857142857,0.661037394451146,0.7597765363128491,0.7011669203450025,0.5275590551181102,0.43829905503057254,0.48804199883336574,0.6377104377104377,0.8308233913553686,0.6243093922651933,0.5653802922442862
19,0.6222,0.6222,0.01,0.6860138072104321,0.5850046282011725,0.6398122065727699,0.5275080906148867,0.5849056603773585,0.5449101796407185,0.7645390070921986,0.579888957433683,0.7120418848167539,0.6383928571428571,0.6480699638118215,0.7681564245810056,0.7067478437341451,0.49606299212598426,0.45608671484157864,0.48279214466264825,0.6549943883277216,0.8452963035399961,0.6464088397790055,0.5756837766953915
20,0.6316,0.6316,0.01,0.7067246228586039,0.6084541808083924,0.64037558685446,0.540453074433657,0.6553459119496855,0.5733532934131736,0.7574468085106383,0.5854410857495373,0.7029985721085198,0.6696428571428571,0.7038600723763571,0.770949720670391,0.7118214104515475,0.5511811023622047,0.45692051139521955,0.4985417071748007,0.6668911335578003,0.8318012908273029,0.6629834254143646,0.5753091045335331
21,0.6386,0.6386,0.01,0.715929429813347,0.619253316877507,0.6709859154929577,0.5145631067961165,0.6257861635220126,0.5748502994011976,0.7574468085106383,0.5755706354102406,0.7125178486435031,0.6517857142857143,0.6860675512665863,0.7402234636871509,0.7082699137493658,0.5433070866141733,0.4558087826570317,0.50009721952168,0.6662177328843996,0.8415802855466458,0.6629834254143646,0.5867366054702136
22,0.6394,0.6394,0.01,0.6880593198670417,0.5846960814563407,0.6604694835680751,0.5210355987055016,0.630817610062893,0.5508982035928144,0.7964539007092198,0.6014805675508945,0.7348881485007139,0.6696428571428571,0.6917973462002412,0.7821229050279329,0.7204464738711314,0.5118110236220472,0.46859366314619233,0.5245965389850282,0.6653198653198653,0.8433405045961275,0.6685082872928176,0.5992881228924691
23,0.646,0.646,0.01,0.7197647660444899,0.6291268127121259,0.6724882629107981,0.517799352750809,0.6490566037735849,0.5913173652694611,0.7524822695035461,0.5983960518198643,0.7063303188957639,0.6607142857142857,0.701145958986731,0.7486033519553073,0.715372907153729,0.5590551181102362,0.4649805447470817,0.5061248298658371,0.6960718294051628,0.8462742030119303,0.6961325966850829,0.586174597227426
24,0.6512,0.6512,0.01,0.7230887241114804,0.6315951866707806,0.6749295774647888,0.5145631067961165,0.6477987421383647,0.5733532934131736,0.7900709219858156,0.5940777297964219,0.7153736316039981,0.6651785714285714,0.7062726176115802,0.7597765363128491,0.7382039573820396,0.5433070866141733,0.44774874930516956,0.5385961501069415,0.691358024691358,0.8484255818501858,0.7071823204419889,0.5949793930310978
25,0.6486,0.6486,0.01,0.7103042700076707,0.6143165689601975,0.6692957746478874,0.5339805825242718,0.6509433962264151,0.5643712574850299,0.8,0.6119679210363973,0.7382198952879581,0.6830357142857143,0.7065741857659831,0.7653631284916201,0.7361745306950787,0.5433070866141733,0.47387437465258475,0.514680147773673,0.6794612794612794,0.8525327596323098,0.6740331491712708,0.6094042712626452
26,0.6614,0.6614,0.01,0.7425210943492713,0.6605985806849738,0.7036619718309859,0.5016181229773463,0.6578616352201258,0.6032934131736527,0.7879432624113475,0.5872917951881554,0.7106139933365064,0.6785714285714286,0.7120024125452352,0.7486033519553073,0.7356671740233384,0.5984251968503937,0.4385769872151195,0.5568734201827727,0.7084175084175084,0.8406023860747115,0.7182320441988951,0.5904833270887972
27,0.6591,0.6591,0.01,0.7266683712605472,0.644554149953718,0.6852582159624413,0.5469255663430421,0.6264150943396226,0.5823353293413174,0.8156028368794326,0.6354102405922271,0.7363160399809614,0.6696428571428571,0.6857659831121834,0.7905027932960894,0.7524099441907661,0.5748031496062992,0.49694274596998333,0.5426793700174996,0.6902356902356902,0.8585957363583023,0.6961325966850829,0.6007868115399025
28,0.6612,0.6612,0.01,0.7284581948350806,0.642394322739895,0.6794366197183098,0.48220064724919093,0.6691823899371069,0.5868263473053892,0.8063829787234043,0.5897594077729796,0.7358400761542123,0.6651785714285714,0.7276839565741857,0.7905027932960894,0.756468797564688,0.5669291338582677,0.443301834352418,0.5734007388683647,0.7164983164983165,0.8527283395266967,0.7182320441988951,0.606219557886849
29,0.664,0.664,0.01,0.7297366402454615,0.6454797901882136,0.6745539906103286,0.5210355987055016,0.6654088050314465,0.5763473053892215,0.8127659574468085,0.6138186304750154,0.7339362208472157,0.6651785714285714,0.7159227985524729,0.770949720670391,0.7615423642820903,0.5433070866141733,0.4760978321289605,0.5572622982694925,0.7115600448933782,0.8609426950909447,0.7016574585635359,0.5957287373548146
30,0.6658,0.6658,0.01,0.736895934543595,0.6516507250848503,0.6786854460093896,0.4886731391585761,0.6735849056603773,0.592814371257485,0.8141843971631205,0.6138186304750154,0.7534507377439315,0.6830357142857143,0.7201447527141134,0.7737430167597765,0.7686453576864536,0.5669291338582677,0.4677598665925514,0.5317907835893447,0.7099887766554434,0.8609426950909447,0.6961325966850829,0.6290745597602098
