round,global_acc,per_client_gen_acc,client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
0,0.1602,0.1602,0.001,0.1917668115571465,0.005862388151804999,0.0022535211267605635,0.025889967637540454,0.005031446540880503,0.019461077844311378,0.6914893617021277,0.2177668106107341,0.4930985245121371,0.05357142857142857,0.07720144752714113,0.7094972067039106,0.3881278538812785,0.06299212598425197,0.02556976097832129,0.30468598094497373,0.0047138047138047135,0.3434382945433209,0.049723756906077346,0.026039715249156988
1,0.2002,0.2002,0.0005481578991748393,0.43492712861160826,0.24344338167232335,0.003004694835680751,0.03559870550161812,0.009433962264150943,0.038922155688622756,0.38865248226950355,0.2578655151141271,0.4321751546882437,0.049107142857142856,0.09469240048250904,0.4329608938547486,0.14053779807204464,0.07086614173228346,0.03168426903835464,0.09955279020027222,0.006734006734006734,0.7058478388421671,0.04419889502762431,0.09216935181715999
2,0.2103,0.2103,0.00042812112951651216,0.41012528765021733,0.21752545510644863,0.005633802816901409,0.03559870550161812,0.011320754716981131,0.0374251497005988,0.5319148936170213,0.25601480567550894,0.47358400761542124,0.0625,0.09378769601930036,0.5167597765363129,0.23490613901572804,0.07874015748031496,0.03140633685380767,0.1843282131051915,0.010101010101010102,0.6857031097203208,0.049723756906077346,0.08711127763207194
3,0.2246,0.2246,0.0003814119554590434,0.41933009460496035,0.22832459117556309,0.06723004694835681,0.038834951456310676,0.011949685534591196,0.04640718562874251,0.5269503546099291,0.26095003084515733,0.4721561161351737,0.06696428571428571,0.09529553679131483,0.5307262569832403,0.23186199898528664,0.08661417322834646,0.032795997776542525,0.19599455570678592,0.02334455667789001,0.7046743594758459,0.0718232044198895,0.09085799925065567
4,0.2333,0.2333,0.0003684235562104732,0.42188698542572234,0.23387843258253627,0.13596244131455398,0.045307443365695796,0.012578616352201259,0.04940119760479042,0.5411347517730496,0.25848241826033314,0.47739171822941456,0.07142857142857142,0.09439083232810615,0.5251396648044693,0.243531202435312,0.08661417322834646,0.033073929961089495,0.21018860587205912,0.02558922558922559,0.7107373362018384,0.08287292817679558,0.09404271262645185
5,0.244,0.244,0.0003880973090417683,0.4157504474558936,0.22863313792039494,0.18309859154929578,0.045307443365695796,0.029559748427672956,0.06437125748502993,0.5624113475177305,0.256631708821715,0.48405521180390293,0.08928571428571429,0.1037394451145959,0.5586592178770949,0.26991374936580415,0.08661417322834646,0.033351862145636464,0.23410460820532764,0.030976430976430977,0.7046743594758459,0.08839779005524862,0.0962907455976021
6,0.2534,0.2534,0.00045252355630509555,0.42674507798517003,0.23233569885837704,0.22384976525821595,0.05177993527508091,0.06477987421383648,0.08832335329341318,0.5588652482269504,0.2603331276989513,0.4821513564969062,0.11607142857142858,0.12756332931242462,0.5335195530726257,0.2612886859462202,0.09448818897637795,0.033629794330183434,0.23779895002916585,0.03748597081930415,0.715431253667123,0.10497237569060773,0.10977894342450356
7,0.2593,0.2593,0.0005625905469059944,0.4277678343134748,0.23912372724467756,0.24338028169014084,0.05501618122977346,0.09685534591194969,0.09880239520958084,0.5432624113475177,0.2603331276989513,0.4721561161351737,0.125,0.1574185765983112,0.5251396648044693,0.252156265854896,0.11023622047244094,0.033073929961089495,0.2560762201049971,0.04691358024691358,0.7197340113436339,0.11602209944751381,0.11614837017609592
8,0.2723,0.2723,0.0006988836103118956,0.42546663257478906,0.24097500771366862,0.2916431924882629,0.05825242718446602,0.12767295597484277,0.11526946107784432,0.5439716312056737,0.25724861196792104,0.46930033317467873,0.16071428571428573,0.17551266586248493,0.5279329608938548,0.2480974124809741,0.11811023622047244,0.032240133407448586,0.26910363601011084,0.05230078563411897,0.7152356737727361,0.13812154696132597,0.132259273136006
9,0.2871,0.2871,0.0008351937285624444,0.4185630273587318,0.23326133909287258,0.31417840375586853,0.05825242718446602,0.16226415094339622,0.12125748502994012,0.5631205673758866,0.2621838371375694,0.47358400761542124,0.17857142857142858,0.20265379975874548,0.5391061452513967,0.267376966007103,0.11811023622047244,0.032518065591995556,0.3007972000777756,0.06487093153759821,0.707216898102875,0.143646408839779,0.14031472461596103
10,0.2935,0.2935,0.0009464545291848481,0.4180516491945794,0.23171860536871336,0.28751173708920186,0.05501618122977346,0.22578616352201258,0.13323353293413173,0.5560283687943263,0.2665021591610117,0.47643979057591623,0.23214285714285715,0.25814234016887816,0.5558659217877095,0.2795535261288686,0.11811023622047244,0.033073929961089495,0.3202411044137663,0.08462401795735129,0.7068257383141013,0.16574585635359115,0.15867366054702137
11,0.3114,0.3114,0.001,0.3991306571209409,0.20610922554767047,0.3149295774647887,0.06472491909385113,0.28867924528301886,0.14820359281437126,0.5893617021276596,0.27082048118445406,0.4930985245121371,0.26339285714285715,0.3208685162846803,0.5893854748603352,0.3115169964485033,0.12598425196850394,0.032795997776542525,0.3618510596927863,0.10886644219977554,0.6769020144729122,0.18232044198895028,0.17178718621206443
