round,global_acc,per_client_gen_acc,base_lr,mean_client_lr,min_client_lr,max_client_lr,local_c00,local_c01,local_c02,local_c03,local_c04,local_c05,local_c06,local_c07,local_c08,local_c09,local_c10,local_c11,local_c12,local_c13,local_c14,local_c15,local_c16,local_c17,local_c18,local_c19
13,0.6476,0.6476,0.008687458127689783,0.009139100351387559,0.006629389024536716,0.01,0.6357856494096276,0.6240208877284595,0.491273432449903,0.6925133689839572,0.6507246376811594,0.654265554842848,0.6723952738990333,0.5467523197715917,0.7217235188509874,0.7550055617352615,0.7081247593376974,0.6978260869565217,0.7292846114256305,0.5516458569807038,0.5381242387332521,0.5238329238329238,0.7406219151036525,0.6190331407722712,0.7416934619506966,0.609251968503937
14,0.6682,0.6682,0.008600583546412886,0.009189836815075946,0.007036359618552323,0.01,0.6687859521646987,0.662532637075718,0.5184227537168714,0.696524064171123,0.6681159420289855,0.6946760744066709,0.6842105263157895,0.5710206995003569,0.7271095152603232,0.7486095661846496,0.7266076241817482,0.6847826086956522,0.7344312918167781,0.5993189557321226,0.5595615103532278,0.5405405405405406,0.7662882527147088,0.6378838552751597,0.7494105037513398,0.6338582677165354
15,0.6706,0.6706,0.008514577710948757,0.009208130713178785,0.006482005228075459,0.01,0.6724190130184681,0.6651436031331592,0.5235940530058177,0.6891711229946524,0.6717391304347826,0.6953175112251443,0.6684568564267812,0.5867237687366167,0.7378815080789947,0.7588987764182424,0.7231420870234886,0.7043478260869566,0.7400926402470407,0.5947786606129398,0.5676004872107187,0.5631449631449631,0.7714708785784797,0.651565825478869,0.7672025723472669,0.6220472440944882
16,0.6782,0.6782,0.00842943193383927,0.009231422933895539,0.006054082282774972,0.01,0.6706024825915834,0.6589425587467362,0.5268261150614092,0.6991978609625669,0.6731884057971015,0.7017318794098781,0.686358754027927,0.5860099928622412,0.7504488330341114,0.775027808676307,0.7470157874470543,0.7097826086956521,0.7364899639732373,0.6027241770715096,0.5736906211936662,0.5724815724815725,0.769990128331688,0.6494375190027364,0.7747052518756699,0.6259842519685039
17,0.6897,0.6897,0.008345137614500876,0.009438553495763733,0.004952450204179272,0.01,0.6972449288525583,0.6876631853785901,0.5559146735617324,0.7018716577540107,0.6884057971014492,0.7209749839640796,0.6996061582527748,0.5831548893647395,0.7369838420107719,0.7814238042269188,0.7481709664998075,0.7217391304347827,0.7565620174987133,0.6152099886492622,0.5902557856272838,0.5764127764127764,0.7818361303060217,0.6521739130434783,0.7802786709539121,0.655511811023622
18,0.69,0.69,0.008261686238355867,0.009634204320145492,0.007528871399882819,0.01,0.7078413563427187,0.7023498694516971,0.5410471881060116,0.6998663101604278,0.6956521739130435,0.7312379730596537,0.6892230576441103,0.6038543897216274,0.7447636146020347,0.7847608453837598,0.7493261455525606,0.7336956521739131,0.7596500257334019,0.6152099886492622,0.5700365408038977,0.5759213759213759,0.7941757156959526,0.6676801459410155,0.7920685959271169,0.6530511811023622
19,0.6959,0.6959,0.008179069375972308,0.0095328605057589,0.006587699818266978,0.01,0.7057220708446866,0.6954960835509139,0.5500969618616678,0.6991978609625669,0.6920289855072463,0.72674791533034,0.6999641962047977,0.6067094932191291,0.7612208258527827,0.7867074527252503,0.7693492491336157,0.7347826086956522,0.766340710241894,0.6311010215664018,0.5943970767356882,0.5901719901719902,0.7951628825271471,0.6643356643356644,0.7856377277599143,0.6491141732283464
20,0.7007,0.7007,0.008097278682212584,0.009442585155960729,0.007324058660104996,0.01,0.7241901301846806,0.7072454308093995,0.5669036845507434,0.6938502673796791,0.7246376811594203,0.7305965362411803,0.6784819190834228,0.6117059243397573,0.7600239377618193,0.7958843159065628,0.7554871005005775,0.725,0.7915594441585178,0.6435868331441543,0.5836784409257003,0.6044226044226044,0.8092300098716683,0.6850106415323807,0.804930332261522,0.6412401574803149
21,0.7106,0.7106,0.00801630589539046,0.009310048034202326,0.006920199601253195,0.01,0.7308507417499243,0.7203002610966057,0.5966386554621849,0.7225935828877005,0.7137681159420289,0.745349583066068,0.7182241317579664,0.6031406138472519,0.7609216038300419,0.7844827586206896,0.7747400847131305,0.7239130434782609,0.7858980957282553,0.6356413166855845,0.6226552984165652,0.6117936117936118,0.8188548864758144,0.6722408026755853,0.7894962486602358,0.6707677165354331
22,0.7106,0.7106,0.007936142836436554,0.009627080661137362,0.007724908147960203,0.01,0.7323645171056615,0.722911227154047,0.5850032320620556,0.714572192513369,0.7195652173913043,0.7408595253367544,0.7096312209094164,0.6202712348322627,0.7704967085577499,0.7950500556173526,0.7816711590296496,0.7434782608695653,0.7915594441585178,0.6469920544835415,0.6080389768574909,0.6191646191646192,0.8129318854886476,0.6959562176953481,0.8045016077170418,0.6663385826771654
23,0.7152,0.7152,0.007856781408072189,0.009417398597105624,0.006659590127380616,0.01,0.7366030881017257,0.7209530026109661,0.6063348416289592,0.7245989304812834,0.7166666666666667,0.7601026298909558,0.7264590046544934,0.622412562455389,0.770197486535009,0.7975528364849833,0.790527531767424,0.7445652173913043,0.7771487390633042,0.6435868331441543,0.6260657734470159,0.6230958230958231,0.812685093780849,0.6828823350562481,0.802357984994641,0.6791338582677166
